stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_30,B_31,B_32,B_33,B_34,B_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96,m_97,m_98,m_99,m_100,m_101,m_102,m_103,m_104,m_105,m_106,m_107,m_108,m_109,m_110,m_111,m_112,m_113,m_114,m_115,m_116,m_117,m_118,m_119,m_120,m_121,m_122,m_123,m_124,m_125,m_126,m_127,m_128,m_129,m_130,m_131,m_132,m_133,m_134,m_135,m_136,m_137,m_138,m_139,m_140,m_141,m_142,m_143,m_144,m_145,m_146,m_147,m_148,m_149,m_150,m_151,m_152,m_153,m_154,m_155,m_156,m_157,m_158,m_159,m_160,m_161,m_162,m_163,m_164,m_165,m_166,m_167,m_168,m_169,m_170,m_171,m_172,m_173,m_174,m_175,m_176,m_177,m_178,m_179,m_180,m_181,m_182,m_183,m_184,m_185,m_186,m_187,m_188,m_189,m_190,m_191,m_192,m_193,m_194,m_195,m_196,m_197,m_198,m_199
LED_gradual_0_20000_constant_delay_lfs_0.1_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",25-Jun-23 01:26:35,lfs,0.1,ICLC,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6937308442463082,0.2247191011235955,0.49,0.66,0.63,0.72,0.66,0.65,0.62,0.57,0.72,0.71,0.65,0.68,0.7,0.7,0.72,0.75,0.61,0.61,0.64,0.64,0.6,0.57,0.61,0.73,0.77,0.63,0.69,0.68,0.65,0.6,0.59,0.54,0.61,0.59,0.69,0.62,0.62,0.59,0.69,0.64,0.54,0.54,0.67,0.63,0.65,0.66,0.47,0.64,0.63,0.58,0.6,0.55,0.65,0.7,0.57,0.66,0.67,0.75,0.63,0.66,0.73,0.65,0.77,0.67,0.73,0.7,0.73,0.75,0.79,0.6,0.72,0.66,0.73,0.7,0.78,0.73,0.69,0.7,0.73,0.72,0.64,0.73,0.72,0.77,0.67,0.75,0.63,0.83,0.73,0.74,0.74,0.7,0.74,0.7,0.85,0.75,0.81,0.76,0.71,0.67,0.79,0.71,0.76,0.79,0.72,0.73,0.71,0.77,0.69,0.72,0.79,0.77,0.72,0.72,0.74,0.7,0.69,0.79,0.72,0.67,0.74,0.72,0.72,0.79,0.74,0.75,0.68,0.61,0.69,0.68,0.61,0.68,0.64,0.72,0.73,0.78,0.68,0.77,0.65,0.67,0.73,0.78,0.69,0.71,0.78,0.68,0.65,0.68,0.76,0.73,0.68,0.72,0.76,0.73,0.77,0.73,0.68,0.8,0.78, 0.7, 0.74, 0.79, 0.72, 0.81, 0.8, 0.73, 0.73, 0.75, 0.69, 0.78, 0.67, 0.76, 0.77, 0.72, 0.71, 0.82, 0.69, 0.74, , , , , , , , , , , , , , , , , , , , , 
LED_gradual_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",25-Jun-23 01:27:08,init,,ICLC,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7015858722297263,0.2247191011235955,0.54,0.61,0.63,0.6,0.59,0.67,0.62,0.65,0.64,0.71,0.67,0.59,0.68,0.67,0.58,0.66,0.73,0.67,0.61,0.69,0.63,0.73,0.62,0.64,0.63,0.62,0.67,0.63,0.58,0.66,0.63,0.62,0.59,0.69,0.66,0.59,0.64,0.62,0.69,0.59,0.65,0.64,0.66,0.67,0.63,0.62,0.6,0.56,0.62,0.63,0.75,0.65,0.47,0.65,0.62,0.63,0.64,0.7,0.67,0.71,0.59,0.73,0.66,0.67,0.68,0.64,0.65,0.73,0.7,0.73,0.71,0.77,0.76,0.7,0.7,0.74,0.8,0.81,0.7,0.76,0.71,0.71,0.72,0.78,0.73,0.76,0.8,0.77,0.7,0.73,0.71,0.74,0.71,0.76,0.75,0.79,0.73,0.84,0.76,0.77,0.81,0.75,0.67,0.68,0.73,0.77,0.73,0.76,0.75,0.71,0.64,0.77,0.72,0.74,0.72,0.76,0.78,0.76,0.73,0.74,0.73,0.76,0.68,0.78,0.79,0.66,0.75,0.71,0.7,0.74,0.74,0.73,0.8,0.67,0.71,0.71,0.66,0.81,0.68,0.83,0.74,0.71,0.67,0.68,0.72,0.6,0.72,0.64,0.71,0.74,0.66,0.71,0.76,0.75,0.66,0.67,0.77,0.77,0.7, 0.77, 0.78, 0.72, 0.7, 0.71, 0.67, 0.7, 0.68, 0.76, 0.72, 0.71, 0.74, 0.77, 0.73, 0.75, 0.7, 0.83, 0.79, 0.72, 0.69, 0.79, 0.77, 0.73, 0.78, 0.8, 0.8, 0.71, 0.75, 0.85, 0.65, 0.76, 0.79, 0.73, 0.82, 0.73, 0.71, 0.79, 0.75, 0.7, 0.74
LED_gradual_0_20000_constant_delay_lfs_0.2_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",25-Jun-23 01:33:15,lfs,0.2,ICLC,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6813949128179488,0.2359550561797752,0.5,0.52,0.66,0.57,0.59,0.44,0.44,0.59,0.55,0.61,0.66,0.64,0.69,0.6,0.65,0.68,0.69,0.66,0.58,0.57,0.66,0.66,0.58,0.68,0.64,0.58,0.69,0.55,0.61,0.57,0.6,0.59,0.6,0.58,0.52,0.55,0.56,0.59,0.53,0.61,0.58,0.48,0.56,0.59,0.59,0.53,0.64,0.7,0.62,0.63,0.75,0.68,0.69,0.6,0.72,0.78,0.75,0.79,0.68,0.76,0.72,0.79,0.79,0.72,0.75,0.71,0.82,0.73,0.76,0.81,0.72,0.75,0.71,0.72,0.76,0.77,0.77,0.78,0.79,0.79,0.79,0.72,0.74,0.73,0.75,0.76,0.78,0.75,0.68,0.77,0.72,0.74,0.78,0.72,0.75,0.76,0.69,0.71,0.79,0.72,0.69,0.71,0.68,0.69,0.75,0.77,0.64,0.69,0.67,0.77,0.72,0.77,0.69,0.73,0.66,0.61,0.64,0.63,0.66,0.73,0.66,0.68,0.73,0.63,0.68,0.74,0.75,0.67,0.74,0.66,0.66,0.56,0.7,0.67,0.69,0.65,0.64,0.71,0.7,0.72,0.73,0.75,0.71,0.78,0.68,0.8,0.77,0.79,0.76,0.69,0.74,0.79,0.71,0.76,0.77,0.68,0.81,0.73,0.77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LED_gradual_0_20000_constant_delay,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",25-Jun-23 01:53:35,delay,,ICLC,,50,100,0.6701850925462731,0.6654463637777921,0.660707635009311,0.659284332688588,0.6579143389199256,0.6578096947935368,0.6580482897384305,0.656963249516441,0.6588454376163874,0.6597678916827853,0.6567260940032414,0.6620137299771167,0.6613594040968342,0.6617021276595745,0.6667597765363128,0.6616696588868941,0.6649899396378269,0.6600580270793037,0.6645251396648044,0.6644100580270793,0.663290113452188,0.6668192219679634,0.6688081936685288,0.6679883945841393,0.6690875232774675,0.6663804491413474,0.6696969696969697,0.6663442940038685,0.6701117318435754,0.6693423597678917,0.6685575364667747,0.6718535469107552,0.6750465549348231,0.6701160541586073,0.6686219739292365,0.6708258527827649,0.6723340040241449,0.6759187620889748,0.6712290502793297,0.6705996131528047,0.6736628849270665,0.6727688787185355,0.6756983240223464,0.6749516441005803,0.6739292364990689,0.6735188509874327,0.6727364185110664,0.6731141199226306,0.675512104283054,0.6753384912959381,0.6745126673588244,0.6736868434217108,0.1910112359550561,0.43,0.57,0.54,0.63,0.18,0.04,0.09,0.2,0.37,0.61,0.67,0.58,0.56,0.59,0.59,0.64,0.42,0.52,0.49,0.57,0.52,0.63,0.58,0.52,0.51,0.62,0.71,0.61,0.61,0.68,0.62,0.68,0.6,0.65,0.62,0.56,0.6,0.49,0.62,0.58,0.63,0.57,0.59,0.57,0.58,0.61,0.56,0.57,0.65,0.71,0.76,0.65,0.5,0.63,0.62,0.64,0.66,0.7,0.68,0.72,0.59,0.67,0.66,0.74,0.71,0.63,0.64,0.72,0.71,0.73,0.7,0.77,0.71,0.75,0.69,0.72,0.79,0.75,0.69,0.75,0.79,0.72,0.74,0.76,0.67,0.71,0.76,0.75,0.75,0.79,0.68,0.74,0.73,0.71,0.71,0.83,0.7,0.84,0.76,0.77,0.75,0.78,0.67,0.73,0.76,0.78,0.71,0.74,0.77,0.72,0.66,0.81,0.73,0.71,0.76,0.71,0.76,0.72,0.69,0.77,0.71,0.79,0.72,0.82,0.74,0.63,0.73,0.7,0.7,0.76,0.77,0.69,0.78,0.61,0.72,0.73,0.68,0.79,0.65,0.79,0.72,0.7,0.62,0.7,0.69,0.59,0.69,0.65,0.66,0.74,0.63,0.72,0.72,0.8,0.65,0.69,0.76,0.77,0.7, 0.77, 0.77, 0.71, 0.65, 0.72, 0.71, 0.68, 0.63, 0.71, 0.68, 0.65, 0.65, 0.72, 0.7, 0.76, 0.71, 0.78, 0.75, 0.69, 0.63, 0.77, 0.75, 0.73, 0.79, 0.77, 0.73, 0.73, 0.77, 0.8, 0.69, 0.75, 0.77, 0.72, 0.73, 0.75, 0.73, 0.83, 0.78, 0.7, 0.76
LED_gradual_0_20000_constant_delay_ssl_0.1_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",25-Jun-23 03:10:19,ssl,0.1,ICLC,,50,100,0.6601471079906386,0.6600993877200727,0.6600516674495068,0.666173752310536,0.6608511139926913,0.6698377168438724,0.6717922212172115,0.6659275683665927,0.6663902381234451,0.6761881310022162,0.6727792566301883,0.6642824532034698,0.6790746829497417,0.6700871017778308,0.6722079138375088,0.678611547966749,0.6757990867579908,0.6756251460621641,0.6774498229043684,0.672756253065228,0.6755683510374267,0.6695376246600181,0.6770956316410862,0.6781105429754078,0.6761133603238867,0.6786539350069305,0.6601517590250632,0.6717718839496949,0.6716000466146137,0.6716031099592743,0.6693053631506036,0.6750189825360668,0.6690132582424029,0.676539553251882,0.6702521008403362,0.6744970214679106,0.6735332464146023,0.6729051987767584,0.6729538180155464,0.6764020125168733,0.6703449647082215,0.6773854244928625,0.6739309694899281,0.6680703492692593,0.6744843842074248,0.676736149816074,0.6768791379981826,0.6754558896007886,0.6781419476538553,0.6777518713952633,0.6773357596138246,0.676919647832386,0.1685393258426966,0.49,0.6,0.58,0.59,0.63,0.62,0.62,0.55,0.73,0.64,0.55,0.61,0.64,0.56,0.62,0.67,0.56,0.58,0.63,0.55,0.59,0.55,0.54,0.7,0.72,0.55,0.59,0.67,0.54,0.58,0.58,0.56,0.57,0.62,0.62,0.69,0.65,0.66,0.68,0.64,0.59,0.59,0.61,0.62,0.67,0.7,0.56,0.64,0.66,0.69,0.64,0.69,0.64,0.67,0.55,0.63,0.64,0.7,0.6,0.48,0.49,0.6,0.73,0.75,0.76,0.72,0.75,0.73,0.76,0.6,0.74,0.69,0.73,0.68,0.79,0.73,0.69,0.65,0.65,0.69,0.72,0.66,0.73,0.71,0.66,0.74,0.65,0.82,0.81,0.75,0.79,0.69,0.68,0.71,0.84,0.59,0.74,0.68,0.63,0.6,0.76,0.66,0.69,0.74,0.65,0.62,0.69,0.73,0.67,0.69,0.77,0.71,0.69,0.71,0.72,0.65,0.7,0.78,0.73,0.64,0.72,0.71,0.64,0.77,0.71,0.74,0.71,0.7,0.67,0.71,0.61,0.63,0.66,0.64,0.69,0.75,0.67,0.76,0.7,0.71,0.74,0.79,0.7,0.71,0.79,0.69,0.74,0.72,0.69,0.71,0.68,0.7,0.7,0.67,0.83,0.72,0.7,0.77,0.76, 0.69, 0.74, 0.79, 0.75, 0.77, 0.79, 0.77, 0.75, 0.74, 0.71, 0.81, 0.63, 0.78, 0.78, 0.72, 0.72, 0.77, 0.75, 0.77, , , , , , , , , , , , , , , , , , , , , 
LED_gradual_0_20000_constant_delay_ssl_0.2_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",25-Jun-23 03:49:48,ssl,0.2,ICLC,,50,100,0.6454818147731534,0.6448783119667294,0.6442748091603053,0.6495395055744062,0.6452646027146561,0.6560298979445163,0.6592665679986844,0.6595939551213555,0.6583752695902229,0.6548053527980535,0.6624706898679501,0.661046511627907,0.6626614598978672,0.6521365070260969,0.6696035242290749,0.6611932129173509,0.6646788209234963,0.6597280044407439,0.6653951785169362,0.6617624521072797,0.6651168481585709,0.656280812463025,0.6674873280231716,0.6679681399344057,0.667878237164925,0.6607615742854533,0.6659657554821268,0.6698234349919743,0.6703069657615112,0.6710042865890998,0.6678462477120195,0.6724103782927312,0.6707741374311394,0.6685002426791782,0.6738355983639003,0.6684689812179851,0.6703529029110424,0.6737520128824477,0.6636722471757179,0.6700079554494829,0.6715354901014002,0.6752359911628841,0.6641243344366096,0.6660589486478274,0.6701328711727326,0.6647790055248619,0.6805795101759228,0.658150064683053,0.6789088692471807,0.6637526307268901,0.6658970627700191,0.6680414948131483,0.2134831460674157,0.48,0.56,0.57,0.49,0.62,0.56,0.63,0.75,0.73,0.61,0.68,0.65,0.68,0.71,0.68,0.68,0.72,0.69,0.55,0.59,0.66,0.73,0.66,0.63,0.67,0.62,0.66,0.62,0.61,0.58,0.7,0.64,0.68,0.66,0.61,0.62,0.69,0.65,0.6,0.66,0.65,0.52,0.6,0.62,0.64,0.53,0.57,0.69,0.56,0.61,0.68,0.63,0.6,0.62,0.59,0.77,0.72,0.67,0.67,0.72,0.75,0.68,0.69,0.64,0.63,0.63,0.74,0.7,0.65,0.74,0.64,0.65,0.59,0.66,0.77,0.69,0.73,0.74,0.76,0.71,0.75,0.64,0.74,0.76,0.75,0.7,0.81,0.68,0.61,0.78,0.69,0.72,0.78,0.71,0.78,0.74,0.65,0.74,0.77,0.74,0.68,0.73,0.7,0.65,0.73,0.78,0.61,0.74,0.67,0.79,0.7,0.77,0.72,0.7,0.62,0.63,0.61,0.66,0.59,0.69,0.69,0.72,0.54,0.42,0.59,0.7,0.66,0.66,0.62,0.69,0.61,0.64,0.69,0.72,0.67,0.64,0.6,0.68,0.76,0.68,0.74,0.69,0.67,0.76,0.68,0.84,0.68,0.76,0.65,0.75,0.68,0.65,0.66,0.7,0.7,0.7,0.67,0.65,0.68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
