stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_30,B_31,B_32,B_33,B_34,B_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96,m_97,m_98,m_99,m_100,m_101,m_102,m_103,m_104,m_105,m_106,m_107,m_108,m_109,m_110,m_111,m_112,m_113,m_114,m_115,m_116,m_117,m_118,m_119,m_120,m_121,m_122,m_123,m_124,m_125,m_126,m_127,m_128,m_129,m_130,m_131,m_132,m_133,m_134,m_135,m_136,m_137,m_138,m_139,m_140,m_141,m_142,m_143,m_144,m_145,m_146,m_147,m_148,m_149,m_150,m_151,m_152,m_153,m_154,m_155,m_156,m_157,m_158,m_159,m_160,m_161,m_162,m_163,m_164,m_165,m_166,m_167,m_168,m_169,m_170,m_171,m_172,m_173,m_174,m_175,m_176,m_177,m_178,m_179,m_180,m_181,m_182,m_183,m_184,m_185,m_186,m_187,m_188,m_189,m_190,m_191,m_192,m_193,m_194,m_195,m_196,m_197,m_198,m_199
LED_abrubt_0_20000_constant_delay_lfs_0.1_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",24-Jun-23 22:22:44,lfs,0.1,ICLC,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7034874019689638,0.2696629213483146,0.46,0.59,0.57,0.58,0.67,0.6,0.59,0.67,0.67,0.61,0.57,0.72,0.67,0.71,0.66,0.64,0.73,0.67,0.61,0.65,0.71,0.63,0.67,0.69,0.76,0.62,0.68,0.73,0.68,0.7,0.7,0.73,0.73,0.41,0.47,0.35,0.44,0.57,0.55,0.45,0.52,0.58,0.64,0.64,0.61,0.66,0.61,0.68,0.6,0.54,0.6,0.66,0.62,0.6,0.71,0.6,0.69,0.62,0.69,0.6,0.75,0.72,0.68,0.74,0.8,0.72,0.76,0.77,0.84,0.73,0.76,0.75,0.81,0.76,0.83,0.71,0.71,0.69,0.73,0.79,0.72,0.76,0.79,0.73,0.72,0.75,0.71,0.78,0.79,0.76,0.8,0.73,0.7,0.75,0.8,0.78,0.77,0.73,0.73,0.73,0.65,0.61,0.63,0.66,0.74,0.66,0.71,0.69,0.74,0.71,0.73,0.73,0.73,0.75,0.77,0.73,0.72,0.7,0.78,0.77,0.72,0.71,0.78,0.71,0.78,0.75,0.71,0.71,0.81,0.71,0.76,0.76,0.75,0.74,0.77,0.74,0.75,0.77,0.78,0.77,0.73,0.83,0.82,0.76,0.71,0.76,0.72,0.75,0.76,0.75,0.71,0.72,0.77,0.71,0.84,0.76,0.77,0.8, 0.68, 0.75, 0.71, 0.85, 0.75, 0.77, 0.76, 0.75, 0.8, 0.71, 0.79, 0.78, 0.77, 0.72, 0.78, 0.78, 0.76, 0.73, 0.86, 0.79, , , , , , , , , , , , , , , , , , , , , 
LED_abrubt_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",24-Jun-23 22:23:37,init,,ICLC,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7134924208314573,0.1910112359550561,0.48,0.62,0.69,0.62,0.59,0.67,0.66,0.63,0.7,0.66,0.73,0.65,0.68,0.65,0.71,0.7,0.65,0.68,0.63,0.73,0.71,0.7,0.72,0.73,0.71,0.69,0.68,0.74,0.68,0.65,0.72,0.72,0.72,0.8,0.76,0.73,0.66,0.44,0.45,0.4,0.57,0.56,0.55,0.63,0.58,0.62,0.69,0.69,0.58,0.67,0.7,0.65,0.78,0.68,0.64,0.68,0.67,0.68,0.67,0.78,0.69,0.66,0.75,0.73,0.74,0.68,0.65,0.7,0.74,0.76,0.81,0.81,0.78,0.74,0.78,0.71,0.81,0.71,0.79,0.76,0.76,0.76,0.8,0.76,0.66,0.75,0.78,0.69,0.79,0.67,0.76,0.69,0.75,0.73,0.79,0.75,0.75,0.77,0.83,0.74,0.75,0.72,0.7,0.7,0.84,0.73,0.81,0.75,0.75,0.7,0.77,0.66,0.67,0.55,0.59,0.68,0.68,0.68,0.61,0.65,0.69,0.68,0.79,0.69,0.72,0.75,0.78,0.74,0.76,0.71,0.69,0.73,0.73,0.7,0.75,0.77,0.66,0.74,0.82,0.72,0.68,0.67,0.83,0.72,0.76,0.78,0.74,0.77,0.76,0.71,0.73,0.75,0.66,0.8,0.74,0.72,0.76,0.82, 0.8, 0.71, 0.76, 0.8, 0.68, 0.81, 0.71, 0.74, 0.77, 0.78, 0.73, 0.8, 0.75, 0.71, 0.83, 0.8, 0.8, 0.78, 0.76, 0.69, 0.7, 0.83, 0.77, 0.75, 0.77, 0.76, 0.71, 0.74, 0.78, 0.72, 0.78, 0.77, 0.77, 0.71, 0.75, 0.76, 0.74, 0.7, 0.82, 0.82, 0.69
LED_abrubt_0_20000_constant_delay_lfs_0.2_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",24-Jun-23 22:30:50,lfs,0.2,ICLC,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6908942168523063,0.2584269662921348,0.55,0.59,0.64,0.63,0.66,0.55,0.53,0.74,0.59,0.69,0.6,0.62,0.59,0.63,0.6,0.75,0.64,0.62,0.61,0.72,0.71,0.68,0.6,0.69,0.68,0.74,0.75,0.74,0.55,0.48,0.32,0.47,0.59,0.52,0.49,0.57,0.52,0.61,0.6,0.62,0.59,0.69,0.55,0.58,0.66,0.65,0.55,0.67,0.7,0.68,0.73,0.61,0.61,0.7,0.59,0.73,0.73,0.73,0.74,0.79,0.81,0.68,0.77,0.76,0.72,0.77,0.77,0.74,0.75,0.69,0.69,0.7,0.71,0.76,0.73,0.8,0.75,0.77,0.77,0.79,0.74,0.7,0.79,0.74,0.78,0.76,0.67,0.81,0.69,0.67,0.6,0.66,0.68,0.64,0.57,0.71,0.78,0.75,0.72,0.8,0.78,0.8,0.68,0.7,0.81,0.75,0.68,0.77,0.75,0.72,0.78,0.76,0.68,0.76,0.72,0.77,0.77,0.74,0.74,0.7,0.71,0.74,0.72,0.67,0.76,0.82,0.65,0.72,0.72,0.7,0.73,0.73,0.69,0.69,0.75,0.77,0.71,0.74,0.72,0.75,0.72,0.72,0.79,0.72,0.74,0.71,0.63,0.77,0.72,0.76,0.75,0.75,0.75,0.74,0.74,0.75,0.82,0.66, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LED_abrubt_0_20000_constant_delay,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",24-Jun-23 22:58:06,delay,,ICLC,,50,100,0.659879939969985,0.6546140854412308,0.6493482309124767,0.6517408123791103,0.6337988826815643,0.6490125673249552,0.6433601609657947,0.6384912959381045,0.6445996275605214,0.6526112185686653,0.6478930307941653,0.6477116704805492,0.6585661080074487,0.6488394584139265,0.6578212290502793,0.6591561938958708,0.6578470824949698,0.6603481624758221,0.6580074487895717,0.6562862669245648,0.6638573743922204,0.6648741418764302,0.6605214152700186,0.6676015473887814,0.671415270018622,0.6614266842800528,0.6567340067340067,0.6736943907156673,0.6742085661080075,0.6643133462282399,0.6733387358184765,0.669908466819222,0.667877094972067,0.6721470019342359,0.6754189944134078,0.673967684021544,0.6738430583501006,0.6762088974854932,0.6685288640595903,0.6810444874274661,0.6730145867098866,0.6721967963386728,0.6792364990689013,0.6729206963249517,0.6759776536312849,0.6789946140035906,0.6843058350100604,0.6702127659574468,0.683705772811918,0.6776595744680851,0.6764485966387449,0.6752376188094047,0.1797752808988764,0.52,0.63,0.67,0.67,0.17,0.16,0.08,0.35,0.53,0.63,0.67,0.55,0.35,0.28,0.2,0.61,0.55,0.69,0.7,0.67,0.67,0.63,0.74,0.71,0.68,0.51,0.49,0.65,0.57,0.61,0.68,0.61,0.72,0.7,0.72,0.65,0.54,0.43,0.41,0.43,0.48,0.49,0.58,0.58,0.53,0.49,0.59,0.57,0.56,0.63,0.66,0.66,0.76,0.65,0.6,0.6,0.71,0.63,0.66,0.68,0.75,0.62,0.66,0.71,0.7,0.65,0.67,0.76,0.69,0.66,0.7,0.71,0.76,0.7,0.73,0.7,0.74,0.71,0.77,0.71,0.73,0.77,0.8,0.76,0.64,0.76,0.74,0.64,0.83,0.67,0.74,0.7,0.77,0.73,0.85,0.79,0.73,0.82,0.77,0.79,0.77,0.72,0.68,0.68,0.8,0.73,0.73,0.74,0.75,0.7,0.77,0.69,0.58,0.48,0.54,0.55,0.67,0.64,0.6,0.64,0.68,0.64,0.67,0.61,0.68,0.68,0.67,0.68,0.69,0.68,0.69,0.69,0.7,0.6,0.67,0.8,0.67,0.69,0.8,0.73,0.7,0.66,0.8,0.73,0.77,0.77,0.79,0.77,0.73,0.76,0.72,0.78,0.68,0.81,0.76,0.75,0.75,0.8, 0.78, 0.69, 0.75, 0.79, 0.69, 0.82, 0.72, 0.74, 0.74, 0.76, 0.73, 0.76, 0.77, 0.74, 0.81, 0.8, 0.76, 0.79, 0.74, 0.71, 0.72, 0.84, 0.75, 0.78, 0.77, 0.73, 0.7, 0.74, 0.76, 0.76, 0.77, 0.78, 0.79, 0.74, 0.77, 0.8, 0.75, 0.75, 0.84, 0.74, 0.66
LED_abrubt_0_20000_constant_delay_ssl_0.1_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",25-Jun-23 00:31:20,ssl,0.1,ICLC,,50,100,0.6705784204671857,0.6650094899538725,0.6594405594405595,0.6625721655816239,0.6595993908867284,0.6662567084078712,0.6601482617586912,0.6707012727726479,0.6668987121475809,0.672284413827039,0.6761764705882353,0.671084704448507,0.6803030303030303,0.6823121939567658,0.6751688795713953,0.6855865921787709,0.6717995563095394,0.6821037933441936,0.6794359576968273,0.6802503989198478,0.6781372549019608,0.6799392097264437,0.6718033172567933,0.6868748475237862,0.6719990658570761,0.6778481991034163,0.6716247139588101,0.6749263984298332,0.6790940766550523,0.6676968722957102,0.678592490662473,0.6749924311232213,0.6727421427736885,0.679056557174611,0.6791028203419942,0.6761625943024434,0.6758923952405587,0.6793491558600441,0.6825270347182698,0.6791136141038198,0.6774955699940933,0.6790796245837117,0.6770869921554853,0.6827098818082125,0.6860906717303584,0.685799601857996,0.6854776080766244,0.6851692307692308,0.6836197825324447,0.6890303623898139,0.6866175171237168,0.6842046718576196,0.2808988764044944,0.5,0.65,0.7,0.63,0.7,0.68,0.68,0.71,0.42,0.41,0.52,0.59,0.46,0.7,0.65,0.61,0.65,0.57,0.26,0.17,0.41,0.44,0.52,0.66,0.7,0.62,0.67,0.75,0.45,0.64,0.56,0.65,0.7,0.42,0.5,0.44,0.54,0.66,0.64,0.65,0.58,0.68,0.74,0.64,0.71,0.67,0.75,0.75,0.7,0.68,0.71,0.75,0.68,0.74,0.72,0.74,0.73,0.81,0.73,0.69,0.75,0.67,0.81,0.76,0.81,0.79,0.75,0.79,0.81,0.77,0.77,0.75,0.74,0.73,0.77,0.8,0.75,0.73,0.74,0.77,0.63,0.64,0.76,0.63,0.65,0.67,0.61,0.71,0.74,0.71,0.73,0.68,0.7,0.73,0.79,0.75,0.77,0.69,0.69,0.69,0.71,0.75,0.66,0.67,0.74,0.67,0.69,0.66,0.72,0.71,0.7,0.69,0.74,0.76,0.73,0.76,0.71,0.71,0.73,0.77,0.67,0.78,0.75,0.68,0.74,0.75,0.68,0.63,0.68,0.66,0.81,0.7,0.74,0.75,0.76,0.66,0.74,0.64,0.71,0.75,0.67,0.79,0.76,0.75,0.71,0.73,0.68,0.67,0.73,0.75,0.73,0.7,0.8,0.63,0.79,0.78,0.78,0.77, 0.56, 0.47, 0.73, 0.74, 0.77, 0.78, 0.67, 0.72, 0.77, 0.72, 0.79, 0.77, 0.68, 0.64, 0.68, 0.71, 0.71, 0.7, 0.83, 0.67, , , , , , , , , , , , , , , , , , , , , 
LED_abrubt_0_20000_constant_delay_ssl_0.2_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '5', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",25-Jun-23 01:16:59,ssl,0.2,ICLC,,50,100,0.6675056632267807,0.6656207939764939,0.663735924726207,0.6649006622516557,0.6688201815105368,0.6598599766627772,0.6706507304116865,0.6590133416071983,0.6779266161910309,0.6600216349868645,0.6664590082232743,0.6653954235246888,0.6758899192342208,0.6642250219748023,0.6654550961684083,0.681029658645775,0.6699262309143935,0.6743655546050755,0.6703884980116244,0.6786102062975027,0.673444086288123,0.6788617886178862,0.6772409778812573,0.6737408932530884,0.6808706315144083,0.679502533394749,0.6639615269011121,0.6813096413293847,0.6828402366863905,0.6791160908807967,0.6794537554314091,0.6720746298925168,0.6815610039170172,0.6771175311884439,0.678686327077748,0.6791304347826087,0.6830673029455323,0.6745168101348059,0.6768426842684269,0.6807692307692308,0.680054207219416,0.6808423635248415,0.678762469278589,0.6938648396138275,0.6787579802669762,0.6902043692741368,0.677095937770095,0.6893476465730801,0.6802343509096516,0.6808017227099553,0.6813900382993522,0.6819783538887491,0.2584269662921348,0.47,0.51,0.57,0.6,0.53,0.55,0.64,0.72,0.59,0.7,0.62,0.65,0.64,0.7,0.66,0.77,0.6,0.75,0.67,0.73,0.72,0.73,0.67,0.77,0.76,0.79,0.75,0.77,0.56,0.39,0.33,0.44,0.46,0.54,0.47,0.62,0.57,0.66,0.62,0.56,0.63,0.76,0.73,0.69,0.63,0.67,0.59,0.69,0.67,0.68,0.63,0.7,0.66,0.71,0.67,0.83,0.74,0.71,0.67,0.77,0.77,0.72,0.79,0.79,0.74,0.8,0.76,0.74,0.79,0.77,0.69,0.75,0.64,0.47,0.74,0.7,0.74,0.7,0.66,0.61,0.65,0.65,0.68,0.64,0.68,0.61,0.61,0.67,0.57,0.5,0.57,0.61,0.67,0.67,0.63,0.66,0.73,0.81,0.69,0.74,0.75,0.78,0.63,0.73,0.68,0.69,0.66,0.7,0.74,0.76,0.74,0.74,0.64,0.72,0.72,0.76,0.77,0.74,0.75,0.71,0.75,0.69,0.71,0.68,0.69,0.83,0.7,0.68,0.7,0.64,0.7,0.74,0.72,0.68,0.71,0.73,0.74,0.76,0.67,0.78,0.7,0.69,0.79,0.75,0.74,0.72,0.68,0.76,0.72,0.79,0.73,0.73,0.77,0.74,0.72,0.79,0.79,0.74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
