stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49
Airlines_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.NoChangeClassifier'>""}",12-Jul-23 18:31:59,init,,<class 'river.dummy.NoChangeClassifier'>,0.7,20,100,0.5752926927735164,0.5555555555555556,0.5356489945155393,0.5614495798319328,0.5711340206185567,0.5688594415522953,0.5509293680297398,0.579957356076759,0.5720053835800808,0.5644599303135889,0.567741935483871,0.5294117647058824,0.5852976428286056,0.5434969853574505,0.5688372093023256,0.5636132315521628,0.5765575501583949,0.578481945467944,0.5619834710743802,0.5585365853658537,0.6153846153846154,0.572264836495761,0.6666666666666666, 0.62, 0.66, 0.63, 0.71, 0.58, 0.67, 0.71, 0.68, 0.58, 0.66, 0.58, 0.62, 0.58, 0.56, 0.66, 0.59, 0.59, 0.68, 0.68, 0.44, 0.54, 0.61, 0.54, 0.57, 0.56, 0.58, 0.59, 0.59, 0.46, 0.65, 0.49, 0.54, 0.55, 0.5, 0.51, 0.5, 0.62, 0.51, 0.51, 0.53, 0.64, 0.54, 0.5, 0.49, 0.58, 0.45, 0.46, 0.5, 0.51
Airlines_0_10000_ssl_0.1_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.NoChangeClassifier'>""}",12-Jul-23 18:32:00,ssl,0.1,<class 'river.dummy.NoChangeClassifier'>,0.7,20,100,0.5711086226203808,0.3333333333333333,0.5213204951856947,0.5597159457714654,0.5623762376237624,0.5722284434490481,0.5376447876447876,0.5635258358662614,0.5742009132420092,0.5621251071122536,0.5655769988184325,0.4892966360856269,0.5725883476599809,0.5418181818181819,0.5714285714285714,0.582703213610586,0.5883959044368601,0.5608417200365965,0.5684333139196273,0.5348837209302325,0.0,0.5720044792833147,0.6153846153846154, 0.62, 0.72, 0.62, 0.68, 0.6, 0.73, 0.73, 0.58, 0.66, 0.54, 0.65, 0.55, 0.54, 0.6, 0.61, 0.63, 0.76, 0.5, 0.46, 0.58, 0.58, 0.62, 0.58, 0.56, 0.68, 0.47, 0.56, 0.53, 0.55, 0.53, 0.52, 0.42, 0.57, 0.56, 0.48, 0.51, 0.62, 0.59, 0.49, 0.54, 0.54, 0.4, 0.48, 0.49, , , , , 
Airlines_0_10000_ssl_0.2_0_10000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.dummy.NoChangeClassifier'>""}",12-Jul-23 18:32:01,ssl,0.2,<class 'river.dummy.NoChangeClassifier'>,0.7,20,100,0.5717516964061322,0.0,0.525390625,0.5974382433668801,0.5793465577596266,0.5538243626062322,0.5475059382422803,0.5517985611510792,0.5637918745545261,0.5569155446756426,0.5598386373823397,0.502262443438914,0.5585748792270532,0.5336879432624113,0.5559895833333334,0.5630906058921623,0.5618466898954704,0.5691428571428572,0.5722356739305892,0.5573770491803278,1.0,0.5709977381251571,0.0, 0.6464646464646465, 0.64, 0.66, 0.58, 0.63, 0.71, 0.64, 0.67, 0.59, 0.62, 0.57, 0.6, 0.59, 0.64, 0.66, 0.55, 0.51, 0.62, 0.55, 0.56, 0.57, 0.58, 0.49, 0.6, 0.5, 0.53, 0.61, 0.47, 0.52, 0.58, 0.47, 0.59, 0.57, 0.54, 0.44, 0.51, 0.53, 0.46, 0.48, , , , , , , , , , 
