stream,hyperparameters,date,type,probability,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_30,B_31,B_32,B_33,B_34,B_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96,m_97,m_98,m_99,m_100,m_101,m_102,m_103,m_104,m_105,m_106,m_107,m_108,m_109,m_110,m_111,m_112,m_113,m_114,m_115,m_116,m_117,m_118,m_119,m_120,m_121,m_122,m_123,m_124,m_125,m_126,m_127,m_128,m_129,m_130,m_131,m_132,m_133,m_134,m_135,m_136,m_137,m_138,m_139,m_140,m_141,m_142,m_143,m_144,m_145,m_146,m_147,m_148,m_149,m_150,m_151,m_152,m_153,m_154,m_155,m_156,m_157,m_158,m_159,m_160,m_161,m_162,m_163,m_164,m_165,m_166,m_167,m_168,m_169,m_170,m_171,m_172,m_173,m_174,m_175,m_176,m_177,m_178,m_179,m_180,m_181,m_182,m_183,m_184,m_185,m_186,m_187,m_188,m_189,m_190,m_191,m_192,m_193,m_194,m_195,m_196,m_197,m_198,m_199,classifier
RBF_moderate_delay_0_20000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.4', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",2023-04-16 22:25:22,delay,,0.4,50,100,0.8146245059288537,0.8078074170461939,0.8099538562953197,0.8094990240728692,0.8109826589595376,0.8122912491649966,0.8136453526697429,0.814508783344177,0.8139090309822017,0.8152752009894867,0.8146833681280445,0.815679895901106,0.8155570204350692,0.8167859466493168,0.8165703275529865,0.81937207748831,0.8159525379037574,0.8192582953806116,0.8200395517468688,0.8186765615337044,0.821642310368824,0.8214703968770332,0.8239288068556361,0.8217957059206246,0.8232783153101878,0.8250578257517348,0.8246539222148979,0.8278464541314249,0.8253790375741595,0.8278293135435992,0.824982602644398,0.8279765777488615,0.8279499011206328,0.8279765777488615,0.8311496467565832,0.8293253173012692,0.8297956493078444,0.8305139882888745,0.830982201713909,0.8311069882498454,0.8315240083507307,0.8329212752114509,0.8328279499011206,0.8340273259596617,0.8346820809248555,0.8362057448229793,0.8350032959789058,0.8372153545868575,0.8361898483849703,0.8351187468418393,0.83,0.8349174587293647,0.68,0.7,0.71,0.78,0.78,0.82,0.86,0.87,0.87,0.89,0.82,0.75,0.75,0.77,0.82,0.84,0.86,0.85,0.88,0.9,0.89,0.84,0.87,0.89,0.85,0.93,0.85,0.88,0.86,0.88,0.85,0.91,0.85,0.85,0.84,0.87,0.85,0.9,0.88,0.86,0.88,0.9,0.88,0.89,0.85,0.93,0.81,0.88,0.79,0.92,0.89,0.9,0.88,0.83,0.88,0.92,0.9,0.85,0.9,0.86,0.9,0.83,0.88,0.91,0.87,0.85,0.93,0.93,0.87,0.86,0.89,0.84,0.92,0.77,0.92,0.91,0.87,0.9,0.88,0.85,0.92,0.88,0.84,0.83,0.82,0.85,0.89,0.86,0.83,0.84,0.84,0.79,0.84,0.8,0.84,0.85,0.74,0.75, 0.86, 0.79, 0.82, 0.77, 0.88, 0.81, 0.84, 0.79, 0.8, 0.87, 0.82, 0.84, 0.78, 0.81, 0.83, 0.92, 0.91, 0.87, 0.79, 0.81, 0.8, 0.83, 0.88, 0.8, 0.77, 0.71, 0.81, 0.76, 0.81, 0.83, 0.78, 0.8, 0.82, 0.85, 0.82, 0.81, 0.74, 0.83, 0.85, 0.84, 0.78, 0.8, 0.75, 0.81, 0.79, 0.82, 0.75, 0.87, 0.86, 0.88, 0.78, 0.83, 0.85, 0.79, 0.84, 0.85, 0.73, 0.78, 0.8, 0.83, 0.78, 0.78, 0.83, 0.77, 0.78, 0.79, 0.73, 0.79, 0.91, 0.83, 0.8, 0.79, 0.85, 0.87, 0.84, 0.8, 0.8, 0.85, 0.77, 0.82, 0.85, 0.81, 0.87, 0.79, 0.79, 0.87, 0.82, 0.88, 0.84, 0.84, 0.79, 0.82, 0.79, 0.89, 0.77, 0.81, 0.82, 0.8, 0.75, 0.8, 0.83, 0.86,<class 'river.forest.adaptive_random_forest.ARFClassifier'>
initail_RBF_moderate,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.4', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",2023-04-16 21:00:17,init,,0.4,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8695282405322927,0.7,0.74,0.83,0.82,0.77,0.83,0.85,0.79,0.92,0.9,0.88,0.86,0.92,0.91,0.94,0.88,0.89,0.9,0.89,0.93,0.9,0.88,0.86,0.93,0.9,0.96,0.93,0.89,0.88,0.92,0.86,0.92,0.85,0.91,0.86,0.87,0.91,0.91,0.91,0.94,0.86,0.9,0.88,0.92,0.91,0.92,0.87,0.91,0.85,0.92,0.89,0.95,0.89,0.91,0.92,0.92,0.9,0.93,0.93,0.9,0.9,0.88,0.89,0.91,0.91,0.91,0.96,0.93,0.84,0.89,0.93,0.85,0.92,0.86,0.9,0.93,0.94,0.97,0.88,0.91,0.9,0.89,0.91,0.82,0.86,0.93,0.91,0.92,0.85,0.85,0.87,0.89,0.89,0.88,0.86,0.85,0.81,0.86, 0.89, 0.86, 0.9, 0.81, 0.9, 0.86, 0.85, 0.86, 0.84, 0.87, 0.82, 0.85, 0.88, 0.93, 0.88, 0.85, 0.88, 0.89, 0.79, 0.84, 0.85, 0.92, 0.86, 0.76, 0.82, 0.8, 0.84, 0.78, 0.81, 0.85, 0.79, 0.85, 0.86, 0.88, 0.83, 0.78, 0.81, 0.82, 0.92, 0.78, 0.84, 0.8, 0.79, 0.84, 0.78, 0.81, 0.8, 0.86, 0.82, 0.91, 0.83, 0.84, 0.86, 0.78, 0.86, 0.87, 0.81, 0.83, 0.87, 0.91, 0.83, 0.87, 0.8, 0.81, 0.86, 0.77, 0.85, 0.9, 0.84, 0.83, 0.89, 0.85, 0.91, 0.95, 0.89, 0.85, 0.89, 0.84, 0.84, 0.87, 0.92, 0.86, 0.88, 0.89, 0.87, 0.86, 0.84, 0.86, 0.84, 0.87, 0.8, 0.84, 0.87, 0.88, 0.89, 0.89, 0.84, 0.88, 0.87, 0.88, 0.87, 0.87,<class 'river.forest.adaptive_random_forest.ARFClassifier'>
RBF_moderate_constant_delay_lfs_0.1_0_20000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.4', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",2023-04-16 20:58:01,lfs,0.1,0.4,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8697343558964099,0.6555555555555556,0.71,0.79,0.8,0.8,0.86,0.8,0.86,0.84,0.9,0.93,0.9,0.92,0.93,0.94,0.93,0.93,0.93,0.88,0.87,0.91,0.91,0.9,0.93,0.83,0.89,0.86,0.86,0.92,0.91,0.89,0.88,0.87,0.88,0.85,0.93,0.88,0.88,0.88,0.93,0.93,0.94,0.83,0.89,0.93,0.89,0.94,0.87,0.88,0.9,0.87,0.86,0.93,0.89,0.91,0.89,0.89,0.91,0.9,0.88,0.96,0.91,0.88,0.9,0.88,0.9,0.85,0.9,0.89,0.93,0.88,0.87,0.92,0.89,0.91,0.88,0.87,0.9,0.88,0.86,0.85,0.87,0.93,0.88,0.85,0.86,0.77,0.84,0.89,0.9,0.89,0.85,0.84,0.88,0.89,0.88,0.86,0.85, 0.85, 0.83, 0.87, 0.87, 0.87, 0.92, 0.87, 0.8, 0.83, 0.88, 0.92, 0.82, 0.88, 0.74, 0.87, 0.81, 0.85, 0.86, 0.81, 0.82, 0.95, 0.87, 0.79, 0.88, 0.83, 0.87, 0.89, 0.85, 0.8, 0.87, 0.84, 0.8, 0.84, 0.85, 0.89, 0.9, 0.8, 0.83, 0.79, 0.84, 0.9, 0.79, 0.84, 0.88, 0.87, 0.74, 0.87, 0.85, 0.87, 0.8, 0.84, 0.92, 0.88, 0.94, 0.75, 0.85, 0.9, 0.89, 0.89, 0.9, 0.84, 0.86, 0.89, 0.89, 0.87, 0.91, 0.84, 0.82, 0.84, 0.82, 0.87, 0.81, 0.86, 0.85, 0.9, 0.9, 0.89, 0.87, 0.85, 0.91, 0.81, 0.92, , , , , , , , , , , , , , , , , , , , ,<class 'river.forest.adaptive_random_forest.ARFClassifier'>
RBF_moderate_constant_delay_lfs_0.2_0_20000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.4', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",2023-04-16 21:29:14,lfs,0.2,0.4,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8623438578871383,0.5625,0.72,0.76,0.73,0.78,0.79,0.8,0.85,0.84,0.87,0.86,0.84,0.86,0.86,0.88,0.89,0.9,0.9,0.88,0.96,0.91,0.92,0.82,0.88,0.91,0.93,0.92,0.89,0.87,0.86,0.89,0.9,0.8,0.84,0.9,0.92,0.91,0.9,0.84,0.91,0.91,0.94,0.9,0.93,0.93,0.92,0.87,0.89,0.88,0.87,0.81,0.92,0.88,0.87,0.96,0.88,0.87,0.87,0.87,0.81,0.91,0.96,0.89,0.87,0.87,0.92,0.87,0.87,0.88,0.92,0.84,0.85,0.83,0.87,0.9,0.82,0.86,0.84,0.82,0.9,0.85,0.86,0.88,0.83,0.85,0.87,0.85,0.85,0.85,0.92,0.83,0.87,0.9,0.81,0.85,0.88,0.85,0.78, 0.82, 0.83, 0.83, 0.84, 0.84, 0.83, 0.91, 0.87, 0.79, 0.82, 0.81, 0.88, 0.83, 0.81, 0.85, 0.84, 0.79, 0.82, 0.85, 0.87, 0.84, 0.89, 0.87, 0.84, 0.84, 0.82, 0.86, 0.87, 0.81, 0.85, 0.86, 0.8, 0.8, 0.81, 0.92, 0.89, 0.88, 0.79, 0.82, 0.89, 0.84, 0.87, 0.81, 0.85, 0.93, 0.91, 0.92, 0.84, 0.84, 0.89, 0.83, 0.86, 0.84, 0.81, 0.86, 0.92, 0.88, 0.88, 0.88, 0.87, 0.87, 0.89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,<class 'river.forest.adaptive_random_forest.ARFClassifier'>
RBF_moderate_constant_delay_lfs_0.5_0_20000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.4', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",2023-04-16 21:43:22,lfs,0.5,0.4,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8482619647355164,0.6071428571428571,0.77,0.7,0.73,0.75,0.83,0.83,0.92,0.9,0.85,0.88,0.85,0.85,0.9,0.87,0.88,0.83,0.88,0.81,0.88,0.87,0.89,0.94,0.84,0.89,0.89,0.87,0.9,0.89,0.87,0.86,0.92,0.88,0.89,0.91,0.85,0.89,0.86,0.87,0.9,0.9,0.8,0.87,0.85,0.86,0.84,0.91,0.83,0.82,0.82,0.89,0.94,0.84,0.85,0.84,0.86,0.84,0.85,0.85,0.79,0.94,0.82,0.83,0.82,0.83,0.8,0.86,0.7,0.84,0.83,0.83,0.84,0.86,0.89,0.83,0.76,0.84,0.77,0.87,0.79,0.84,0.82,0.81,0.86,0.87,0.88,0.87,0.84,0.89,0.79,0.88,0.88,0.85,0.76,0.79,0.85,0.86,0.83, 0.86, 0.81, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,<class 'river.forest.adaptive_random_forest.ARFClassifier'>
RBF_moderate_constant_delay_ssl_0.1_0_20000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.4', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",2023-04-17 01:10:20,ssl,0.1,0.4,50,100,0.7791441407142313,0.7609513773897335,0.7661148829048745,0.7655307599517491,0.7685962695994649,0.7686827228374506,0.7713848508033665,0.7726829268292683,0.7738766184310739,0.77536180223854,0.7730260488517406,0.7764359574307494,0.7784761612754867,0.7755775577557755,0.7790870016303543,0.7784342688330872,0.7803984428669567,0.7813297313522437,0.7823457357219415,0.7828616017592396,0.7831158238172921,0.7841472577009767,0.7863208629791141,0.7873666816884483,0.7873470180664379,0.7911683532658693,0.79105046500991,0.7920404009949499,0.789766661583041,0.7896380411639461,0.7901687454145268,0.7942374415447278,0.7964965727341965,0.797247499435963,0.7956150130063173,0.8008835839404743,0.7962088915956151,0.8025222776015708,0.801424959779361,0.8006783014201936,0.8053619742559646,0.8037670718895392,0.8068398202452586,0.805291723202171,0.8068863383931877,0.8090944422852702,0.8109886746250382,0.8108229988726043,0.8108479755538579,0.8093792172739541,0.7967213114754098,0.80755765490414,0.6555555555555556,0.69,0.69,0.74,0.79,0.79,0.78,0.84,0.85,0.78,0.68,0.7,0.75,0.83,0.81,0.85,0.79,0.91,0.78,0.81,0.83,0.82,0.86,0.89,0.89,0.89,0.88,0.83,0.89,0.85,0.81,0.86,0.82,0.86,0.82,0.89,0.83,0.85,0.85,0.9,0.87,0.89,0.84,0.82,0.91,0.86,0.89,0.82,0.85,0.86,0.89,0.86,0.89,0.88,0.9,0.85,0.84,0.87,0.87,0.82,0.9,0.92,0.88,0.92,0.83,0.91,0.83,0.88,0.86,0.88,0.86,0.88,0.92,0.91,0.86,0.82,0.83,0.85,0.86,0.8,0.81,0.84,0.83,0.86,0.79,0.88,0.74,0.77,0.77,0.84,0.81,0.81,0.85,0.8,0.78,0.76,0.82,0.82, 0.79, 0.81, 0.83, 0.84, 0.83, 0.89, 0.78, 0.77, 0.78, 0.82, 0.81, 0.73, 0.8, 0.67, 0.78, 0.76, 0.75, 0.78, 0.79, 0.73, 0.82, 0.76, 0.74, 0.73, 0.75, 0.74, 0.74, 0.76, 0.7, 0.68, 0.72, 0.71, 0.63, 0.78, 0.77, 0.8, 0.77, 0.74, 0.63, 0.69, 0.69, 0.69, 0.82, 0.75, 0.83, 0.75, 0.78, 0.68, 0.76, 0.71, 0.77, 0.89, 0.86, 0.84, 0.75, 0.77, 0.78, 0.79, 0.74, 0.68, 0.78, 0.75, 0.85, 0.81, 0.84, 0.76, 0.77, 0.78, 0.81, 0.82, 0.81, 0.75, 0.82, 0.77, 0.83, 0.78, 0.82, 0.83, 0.85, 0.85, 0.79, 0.82, , , , , , , , , , , , , , , , , , , , ,<class 'river.forest.adaptive_random_forest.ARFClassifier'>
RBF_moderate_constant_delay_ssl_0.2_0_20000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.4', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",2023-04-17 03:11:37,ssl,0.2,0.4,50,100,0.7166320729176067,0.682826842527404,0.6870291367885994,0.6883244206773619,0.6887550200803213,0.6915386039622292,0.6947511312217195,0.6928993024503667,0.6989939273089821,0.7018576878420966,0.7034866686199824,0.7021904336164506,0.7072461132830258,0.7112494441974211,0.7070618239380881,0.7137460843928506,0.7139490619051935,0.7167542531397524,0.7202911737943585,0.7193911317008603,0.7238958759871308,0.7207989967753493,0.7275117881755532,0.727094822985234,0.7285607755406414,0.7357825295723385,0.7324084149437795,0.7321650951787938,0.7330593607305936,0.7341950451570138,0.7401712728688206,0.7371474473402356,0.7406701171342959,0.7418867253489819,0.7437756617454355,0.7470773798478382,0.7523343305230713,0.752251850530634,0.7532585908303709,0.7532984814538213,0.7600039039625219,0.7565573041700009,0.7573851203501094,0.7610085227272727,0.7605967529618254,0.7595985636681705,0.7658549881882609,0.7623541982014068,0.7652403016262378,0.7534830459952924,0.7648026315789473,0.7522596033140848,0.5625,0.63,0.67,0.69,0.75,0.78,0.71,0.78,0.79,0.73,0.64,0.75,0.82,0.84,0.84,0.81,0.77,0.75,0.84,0.78,0.76,0.83,0.82,0.81,0.8,0.8,0.77,0.8,0.75,0.75,0.74,0.86,0.75,0.67,0.81,0.76,0.76,0.78,0.76,0.85,0.89,0.79,0.78,0.85,0.78,0.87,0.76,0.83,0.83,0.75,0.75,0.78,0.83,0.81,0.86,0.8,0.81,0.83,0.8,0.81,0.87,0.82,0.83,0.81,0.84,0.84,0.79,0.78,0.77,0.79,0.77,0.8,0.73,0.66,0.76,0.74,0.72,0.74,0.7,0.74,0.74,0.68,0.73,0.71,0.73,0.76,0.76,0.71,0.73,0.68,0.76,0.71,0.75,0.68,0.73,0.77,0.67,0.68, 0.66, 0.63, 0.72, 0.66, 0.67, 0.76, 0.72, 0.59, 0.68, 0.63, 0.74, 0.73, 0.82, 0.74, 0.65, 0.68, 0.63, 0.68, 0.85, 0.75, 0.84, 0.78, 0.64, 0.7, 0.68, 0.64, 0.77, 0.76, 0.74, 0.75, 0.68, 0.66, 0.63, 0.71, 0.83, 0.81, 0.74, 0.74, 0.71, 0.75, 0.73, 0.79, 0.74, 0.77, 0.82, 0.83, 0.76, 0.66, 0.65, 0.72, 0.77, 0.73, 0.77, 0.72, 0.73, 0.73, 0.66, 0.75, 0.71, 0.74, 0.73, 0.84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,<class 'river.forest.adaptive_random_forest.ARFClassifier'>
RBF_moderate_constant_delay_ssl_0.5_0_20000,"{'n_models': '10', 'max_features': '3', 'lambda_value': '6', 'metric': 'Accuracy: 0.00%', 'disable_weighted_vote': 'False', 'drift_detector': 'ADWIN', 'warning_detector': 'ADWIN', 'grace_period': '50', 'max_depth': 'None', 'split_criterion': 'info_gain', 'delta': '0.01', 'tau': '0.05', 'leaf_prediction': 'nba', 'nb_threshold': '0', 'nominal_attributes': 'None', 'splitter': 'None', 'binary_split': 'False', 'max_size': '100.0', 'memory_estimate_period': '2000000', 'stop_mem_management': 'False', 'remove_poor_attrs': 'False', 'merit_preprune': 'True', 'seed': '123', 'threshold': '0.4', 'train_period': '0', 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>""}",2023-04-17 03:26:37,ssl,0.5,0.4,50,100,0.6089982356400706,0.5952289342054636,0.5912087912087912,0.5988538681948424,0.5973377703826955,0.6035095049091289,0.5961157352358304,0.5948708060161975,0.5994029850746269,0.6027851458885941,0.6025304368584388,0.6054199500288295,0.5981050138176076,0.6003883495145631,0.599409811877536,0.6031120331950207,0.6136408828793001,0.594885598923284,0.598731165741475,0.6010033444816053,0.6046069817145571,0.591118800461361,0.6137219908784454,0.5937743190661479,0.6080791867308721,0.6044723969252271,0.6,0.6162812918020256,0.6013567438148444,0.6091572660915726,0.6199855873168388,0.6081390905617119,0.6046697266014768,0.6210001916075877,0.6111929307805597,0.6106029106029106,0.6153225806451613,0.6124429223744292,0.6229802513464991,0.6097236097236097,0.6244365361803085,0.6174496644295302,0.6184947958366693,0.6149732620320856,0.6232635673272828,0.6183031061079841,0.6259663032705649,0.6204042348411934,0.6339856230031949,0.6199629934210527,0.6212121212121212,0.6199879105379811,0.5714285714285714,0.66,0.62,0.59,0.53,0.62,0.63,0.54,0.67,0.65,0.58,0.68,0.59,0.67,0.72,0.74,0.65,0.62,0.56,0.64,0.6,0.68,0.64,0.61,0.71,0.66,0.61,0.63,0.58,0.66,0.67,0.59,0.65,0.65,0.69,0.63,0.63,0.7,0.63,0.68,0.68,0.48,0.52,0.64,0.62,0.53,0.65,0.56,0.45,0.57,0.68,0.64,0.54,0.75,0.74,0.62,0.65,0.52,0.71,0.63,0.61,0.66,0.64,0.63,0.59,0.58,0.58,0.55,0.65,0.6,0.6,0.65,0.63,0.65,0.6,0.56,0.62,0.54,0.67,0.6,0.62,0.56,0.49,0.73,0.58,0.63,0.54,0.57,0.68,0.61,0.71,0.61,0.6,0.66,0.62,0.59,0.59,0.56, 0.61, 0.57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,<class 'river.forest.adaptive_random_forest.ARFClassifier'>
