stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_30,B_31,B_32,B_33,B_34,B_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96,m_97,m_98,m_99,m_100,m_101,m_102,m_103,m_104,m_105,m_106,m_107,m_108,m_109,m_110,m_111,m_112,m_113,m_114,m_115,m_116,m_117,m_118,m_119,m_120,m_121,m_122,m_123,m_124,m_125,m_126,m_127,m_128,m_129,m_130,m_131,m_132,m_133,m_134,m_135,m_136,m_137,m_138,m_139,m_140,m_141,m_142,m_143,m_144,m_145,m_146,m_147,m_148,m_149,m_150,m_151,m_152,m_153,m_154,m_155,m_156,m_157,m_158,m_159,m_160,m_161,m_162,m_163,m_164,m_165,m_166,m_167,m_168,m_169,m_170,m_171,m_172,m_173,m_174,m_175,m_176,m_177,m_178,m_179,m_180,m_181,m_182,m_183,m_184,m_185,m_186,m_187,m_188,m_189,m_190,m_191,m_192,m_193,m_194,m_195,m_196,m_197,m_198,m_199
RBF_moderate_0_20000_constant_delay_lfs_0.1_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '3', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",24-Jun-23 15:17:03,lfs,0.1,ICLC,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8706045479755963,0.7640449438202247,0.73,0.79,0.81,0.81,0.87,0.86,0.86,0.82,0.87,0.87,0.87,0.94,0.93,0.84,0.89,0.85,0.94,0.85,0.91,0.9,0.94,0.92,0.94,0.89,0.94,0.9,0.93,0.89,0.92,0.89,0.86,0.9,0.94,0.88,0.9,0.93,0.93,0.95,0.95,0.91,0.94,0.86,0.87,0.9,0.93,0.94,0.89,0.89,0.93,0.91,0.9,0.89,0.88,0.9,0.85,0.88,0.94,0.87,0.89,0.91,0.93,0.91,0.89,0.87,0.94,0.84,0.92,0.93,0.9,0.93,0.86,0.9,0.92,0.89,0.85,0.85,0.87,0.85,0.89,0.83,0.89,0.88,0.86,0.88,0.86,0.86,0.83,0.88,0.88,0.89,0.84,0.88,0.9,0.83,0.83,0.83,0.85,0.83,0.92,0.86,0.86,0.86,0.88,0.87,0.84,0.84,0.85,0.89,0.83,0.81,0.81,0.92,0.81,0.86,0.83,0.82,0.87,0.89,0.83,0.83,0.78,0.8,0.83,0.85,0.81,0.78,0.81,0.84,0.8,0.81,0.9,0.86,0.86,0.8,0.82,0.82,0.86,0.92,0.85,0.84,0.91,0.84,0.8,0.9,0.84,0.84,0.89,0.78,0.9,0.91,0.87,0.9,0.79,0.87,0.92,0.86,0.91,0.8,0.82, 0.89, 0.9, 0.9, 0.83, 0.85, 0.87, 0.83, 0.86, 0.87, 0.87, 0.85, 0.83, 0.9, 0.86, 0.87, 0.87, 0.84, 0.93, 0.89, 0.9, , , , , , , , , , , , , , , , , , , , 
RBF_moderate_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '3', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",24-Jun-23 15:17:29,init,,ICLC,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8719295612586923,0.7528089887640449,0.74,0.8,0.77,0.8,0.81,0.9,0.84,0.83,0.86,0.85,0.83,0.89,0.91,0.96,0.86,0.92,0.87,0.87,0.94,0.87,0.9,0.88,0.95,0.91,0.93,0.88,0.9,0.9,0.87,0.9,0.92,0.86,0.9,0.9,0.91,0.9,0.89,0.88,0.86,0.89,0.91,0.87,0.92,0.9,0.94,0.85,0.87,0.88,0.91,0.95,0.94,0.9,0.89,0.94,0.94,0.88,0.94,0.93,0.89,0.88,0.87,0.9,0.88,0.92,0.91,0.94,0.91,0.89,0.88,0.94,0.88,0.91,0.83,0.93,0.92,0.9,0.94,0.93,0.91,0.92,0.93,0.89,0.88,0.88,0.89,0.93,0.91,0.89,0.87,0.88,0.83,0.89,0.81,0.91,0.86,0.84,0.78,0.88,0.88,0.85,0.84,0.91,0.84,0.85,0.86,0.84,0.84,0.87,0.85,0.88,0.94,0.85,0.86,0.9,0.91,0.83,0.85,0.83,0.88,0.87,0.83,0.81,0.74,0.88,0.78,0.84,0.88,0.77,0.88,0.78,0.87,0.8,0.8,0.8,0.85,0.88,0.85,0.85,0.88,0.84,0.84,0.79,0.8,0.83,0.86,0.87,0.88,0.85,0.87,0.86,0.82,0.93,0.94,0.8,0.87,0.84,0.87,0.87,0.83, 0.86, 0.83, 0.87, 0.82, 0.78, 0.89, 0.9, 0.92, 0.85, 0.83, 0.84, 0.93, 0.94, 0.82, 0.85, 0.91, 0.83, 0.87, 0.92, 0.87, 0.89, 0.86, 0.84, 0.84, 0.83, 0.83, 0.87, 0.87, 0.83, 0.86, 0.83, 0.91, 0.89, 0.92, 0.86, 0.87, 0.89, 0.91, 0.93, 0.86
RBF_moderate_0_20000_constant_delay_lfs_0.2_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '3', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",24-Jun-23 15:21:48,lfs,0.2,ICLC,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8641944531006545,0.7752808988764045,0.8,0.76,0.76,0.81,0.82,0.77,0.84,0.91,0.87,0.88,0.9,0.88,0.89,0.87,0.88,0.9,0.88,0.88,0.91,0.91,0.94,0.87,0.96,0.87,0.89,0.92,0.89,0.89,0.92,0.85,0.98,0.82,0.93,0.92,0.93,0.9,0.88,0.88,0.88,0.95,0.91,0.87,0.84,0.94,0.92,0.94,0.89,0.9,0.88,0.89,0.89,0.95,0.89,0.94,0.84,0.89,0.88,0.88,0.89,0.93,0.91,0.91,0.85,0.92,0.92,0.85,0.85,0.91,0.88,0.87,0.89,0.86,0.89,0.88,0.88,0.85,0.87,0.82,0.92,0.85,0.84,0.83,0.83,0.82,0.84,0.87,0.82,0.86,0.88,0.83,0.86,0.88,0.82,0.81,0.88,0.9,0.8,0.85,0.73,0.86,0.82,0.83,0.8,0.84,0.86,0.84,0.72,0.82,0.87,0.86,0.8,0.81,0.81,0.91,0.82,0.8,0.9,0.86,0.84,0.81,0.8,0.88,0.85,0.84,0.9,0.9,0.8,0.84,0.86,0.86,0.84,0.8,0.86,0.81,0.87,0.84,0.88,0.86,0.93,0.85,0.77,0.87,0.83,0.84,0.89,0.88,0.84,0.85,0.81,0.87,0.83,0.87,0.87,0.87,0.92,0.86,0.86,0.83,0.86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RBF_moderate_0_20000_constant_delay,"{'classifier_n_models': '10', 'classifier_max_features': '3', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",24-Jun-23 15:40:55,delay,,ICLC,,50,100,0.8616808404202101,0.8592854853870138,0.8568901303538176,0.8630560928433268,0.858659217877095,0.8608617594254937,0.8606639839034205,0.856963249516441,0.8590316573556797,0.858220502901354,0.8584278768233388,0.8583524027459954,0.8597765363128491,0.8547388781431334,0.8580074487895717,0.8540394973070018,0.855533199195171,0.852321083172147,0.8548417132216015,0.8542553191489362,0.8581847649918962,0.8535469107551488,0.858659217877095,0.8587040618955513,0.8558659217877095,0.857001321003963,0.8595959595959596,0.8572533849129593,0.8638733705772812,0.8591876208897485,0.8628038897893031,0.8635011441647598,0.8601489757914339,0.8609284332688588,0.8600558659217877,0.8594254937163375,0.8640845070422535,0.8604448742746615,0.8597765363128491,0.8606382978723405,0.8628038897893031,0.8588100686498856,0.8628491620111732,0.8588007736943907,0.8619180633147113,0.8608617594254937,0.8629778672032193,0.8604448742746615,0.8660148975791434,0.860541586073501,0.8618866009407025,0.863231615807904,0.7303370786516854,0.74,0.83,0.83,0.77,0.77,0.74,0.67,0.75,0.77,0.81,0.84,0.85,0.8,0.91,0.89,0.92,0.85,0.84,0.91,0.84,0.85,0.88,0.94,0.86,0.93,0.93,0.9,0.86,0.88,0.89,0.9,0.87,0.86,0.84,0.88,0.83,0.89,0.92,0.86,0.9,0.95,0.9,0.93,0.92,0.95,0.86,0.9,0.87,0.91,0.91,0.95,0.84,0.87,0.89,0.93,0.86,0.91,0.89,0.89,0.94,0.86,0.91,0.9,0.9,0.9,0.88,0.98,0.89,0.91,0.88,0.89,0.95,0.86,0.93,0.92,0.93,0.95,0.85,0.88,0.93,0.93,0.88,0.86,0.88,0.88,0.84,0.87,0.87,0.79,0.85,0.92,0.85,0.87,0.85,0.88,0.83,0.79,0.87,0.87,0.85,0.87,0.91,0.84,0.87,0.81,0.81,0.86,0.86,0.86,0.87,0.88,0.88,0.85,0.94,0.88,0.78,0.83,0.82,0.91,0.95,0.78,0.82,0.81,0.86,0.8,0.78,0.81,0.82,0.85,0.88,0.86,0.81,0.82,0.82,0.84,0.88,0.88,0.86,0.87,0.82,0.82,0.82,0.84,0.83,0.87,0.85,0.91,0.81,0.82,0.87,0.85,0.83,0.9,0.81,0.86,0.87,0.88,0.89,0.83, 0.88, 0.82, 0.85, 0.79, 0.88, 0.87, 0.89, 0.87, 0.9, 0.85, 0.89, 0.9, 0.89, 0.85, 0.86, 0.83, 0.83, 0.9, 0.9, 0.82, 0.88, 0.87, 0.81, 0.84, 0.81, 0.81, 0.83, 0.9, 0.79, 0.84, 0.84, 0.89, 0.87, 0.9, 0.87, 0.85, 0.85, 0.86, 0.89, 0.92
RBF_moderate_0_20000_constant_delay_ssl_0.1_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '3', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",24-Jun-23 16:38:33,ssl,0.1,ICLC,,50,100,0.8601297764960346,0.8555534875965516,0.8509771986970684,0.8611178911398585,0.8561109169288128,0.8594475138121547,0.8579523502897618,0.8626112397903206,0.8560738922015667,0.8609086491739553,0.8603099862664312,0.8546354635463547,0.8642749332404505,0.8531435349940688,0.8656681488415633,0.8539911308203991,0.855595667870036,0.8616600790513834,0.8553907253825488,0.856603313840156,0.8621842131131426,0.8493984850735184,0.8590627556386584,0.8581551618814905,0.8644599303135888,0.8586076632487858,0.8480381038784305,0.866877971473851,0.8573091247672253,0.861717791411043,0.8563173359451518,0.8620071684587813,0.8588508415554266,0.859700760363012,0.8632478632478633,0.8637485970819304,0.8573607932875668,0.8706229266494655,0.8565123910829467,0.8652205703144041,0.8610864635709357,0.861396456751526,0.8636416251881005,0.8585808986005401,0.867363530778165,0.8641103262697611,0.8646149949341438,0.8635029354207436,0.8694337867689803,0.862864818659177,0.864880360081072,0.8668959015029671,0.7528089887640449,0.77,0.79,0.76,0.79,0.86,0.76,0.88,0.86,0.9,0.84,0.85,0.94,0.9,0.84,0.89,0.83,0.93,0.89,0.88,0.91,0.91,0.89,0.94,0.89,0.91,0.89,0.85,0.9,0.93,0.93,0.87,0.91,0.92,0.92,0.88,0.92,0.87,0.89,0.89,0.89,0.92,0.85,0.86,0.9,0.91,0.94,0.84,0.85,0.91,0.92,0.89,0.9,0.89,0.94,0.9,0.9,0.96,0.89,0.86,0.92,0.93,0.92,0.87,0.87,0.95,0.86,0.9,0.93,0.95,0.9,0.91,0.91,0.93,0.94,0.87,0.87,0.87,0.9,0.86,0.89,0.89,0.82,0.85,0.82,0.86,0.88,0.79,0.86,0.95,0.84,0.86,0.89,0.87,0.83,0.81,0.83,0.87,0.84,0.92,0.88,0.93,0.88,0.88,0.83,0.86,0.8,0.88,0.92,0.87,0.84,0.78,0.87,0.81,0.84,0.83,0.79,0.78,0.9,0.84,0.81,0.81,0.82,0.85,0.85,0.84,0.81,0.85,0.82,0.79,0.79,0.87,0.85,0.86,0.77,0.86,0.84,0.83,0.86,0.79,0.79,0.9,0.87,0.82,0.84,0.79,0.84,0.81,0.82,0.91,0.93,0.85,0.9,0.84,0.87,0.94,0.84,0.88,0.85,0.88, 0.95, 0.83, 0.87, 0.86, 0.87, 0.87, 0.83, 0.82, 0.86, 0.84, 0.78, 0.86, 0.87, 0.9, 0.86, 0.86, 0.85, 0.87, 0.9, 0.83, , , , , , , , , , , , , , , , , , , , 
RBF_moderate_0_20000_constant_delay_ssl_0.2_0_20000,"{'classifier_n_models': '10', 'classifier_max_features': '3', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",24-Jun-23 16:54:34,ssl,0.2,ICLC,,50,100,0.8541692633678175,0.8515744276022761,0.8489795918367347,0.8479909633693723,0.8550483675937122,0.8542849035187288,0.8479920345170926,0.8543939393939394,0.8528113879003558,0.8560317218240049,0.8561220782366477,0.852842146959794,0.8534177961107837,0.8602972399150743,0.8498553372925233,0.861275565123789,0.8531907671418874,0.8573403372961017,0.8598403438747313,0.8552532692018638,0.8587945879458795,0.8552221356196414,0.8614706300668469,0.8577846630518977,0.8580246913580247,0.8610660904015848,0.860431654676259,0.8564153113192049,0.856892523364486,0.8588430250075324,0.8603691112190384,0.8613211301233585,0.8563724098779449,0.8627675216467897,0.8590533630523142,0.8586940991570224,0.861501976284585,0.8598963394881762,0.8637704478412443,0.8612978889757623,0.8622592910585061,0.8548418397050263,0.861294964028777,0.8664053075995175,0.8564278564278565,0.8621898219542969,0.8547382595522639,0.8595532701269484,0.861608497723824,0.8596914175506268,0.8614174400479047,0.8631434625451826,0.797752808988764,0.76,0.76,0.75,0.74,0.84,0.84,0.78,0.86,0.88,0.92,0.93,0.89,0.92,0.89,0.9,0.9,0.89,0.91,0.9,0.83,0.91,0.87,0.88,0.81,0.89,0.88,0.86,0.85,0.88,0.85,0.89,0.9,0.89,0.93,0.92,0.93,0.87,0.89,0.85,0.92,0.9,0.82,0.88,0.89,0.88,0.89,0.86,0.93,0.83,0.86,0.88,0.92,0.91,0.93,0.88,0.9,0.88,0.9,0.91,0.94,0.96,0.9,0.86,0.92,0.92,0.84,0.8,0.9,0.85,0.85,0.9,0.89,0.84,0.84,0.87,0.85,0.85,0.82,0.88,0.88,0.85,0.9,0.84,0.86,0.85,0.91,0.84,0.88,0.88,0.86,0.89,0.84,0.83,0.84,0.83,0.92,0.85,0.89,0.72,0.87,0.85,0.83,0.81,0.85,0.89,0.82,0.79,0.79,0.86,0.89,0.84,0.83,0.85,0.87,0.8,0.82,0.87,0.87,0.84,0.72,0.86,0.81,0.86,0.84,0.86,0.89,0.81,0.86,0.87,0.84,0.81,0.83,0.91,0.9,0.88,0.88,0.85,0.85,0.78,0.88,0.85,0.87,0.88,0.84,0.82,0.88,0.84,0.86,0.86,0.83,0.84,0.84,0.9,0.88,0.91,0.92,0.83,0.88,0.88, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
