stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_30,B_31,B_32,B_33,B_34,B_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96,m_97,m_98,m_99,m_100,m_101,m_102,m_103,m_104,m_105,m_106,m_107,m_108,m_109,m_110,m_111,m_112,m_113,m_114,m_115,m_116,m_117,m_118,m_119,m_120,m_121,m_122,m_123,m_124,m_125,m_126,m_127,m_128,m_129,m_130,m_131,m_132,m_133,m_134,m_135,m_136,m_137,m_138,m_139,m_140,m_141,m_142,m_143,m_144,m_145,m_146,m_147,m_148,m_149,m_150,m_151,m_152,m_153,m_154,m_155,m_156,m_157,m_158,m_159,m_160,m_161,m_162,m_163,m_164,m_165,m_166,m_167,m_168,m_169,m_170,m_171,m_172,m_173,m_174,m_175,m_176,m_177,m_178,m_179,m_180,m_181,m_182,m_183,m_184,m_185,m_186,m_187,m_188,m_189,m_190,m_191,m_192,m_193,m_194,m_195,m_196,m_197,m_198,m_199
CoverType_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",03-Jul-23 23:38:17,init,,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077865330923633,0.4301941346551012,0.0,0.0693430656934306,0.237067361369557,0.155869650569297,0.0,0.0,0.0,0.0,0.0,0.0,0.1293532338308457,-0.0339175387719076,0.1590846429556107,0.2124896380215529,0.0420232469025418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
CoverType_0_20000_constant_delay,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",04-Jul-23 00:19:47,delay,,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,50,100,0.0002528530056621,-0.0047050344376037,-0.0040433243197357,-0.0056003725191607,-0.0055862193845415,-0.0083690644762904,-0.0070979172569058,-0.0066581275763456,-0.006447294758207,-0.0051505672827507,-0.0041085076137872,-0.0033267643252235,-0.0036324029660152,-0.0026887087602909,-0.0025904612189031,-0.0022306403350731,-0.0017093672315813,-0.0010149804793425,-0.0008189308924834,-0.0020835023830349,0.0002278917291028,-0.0010583518930957,-0.0010152578001808,-0.0011003765459992,-0.0012104628954108,-0.00154419379402,-0.0028503240094823,-0.0014492533790409,-0.0033196990618689,-0.00356018612749,-0.001680045876779,-0.0005913432131673,-0.0028727485213379,-0.0004364559053195,-0.0003891125054876,0.0002541266753707,0.0009147222151676,-0.0007646487417753,0.0001511253897086,-0.0006148010251079,0.0020692539229664,0.0006361137926941,0.00043955601164,-0.0003502016677877,0.0002194303850358,-0.0012572975162722,0.001057599821101,0.0007071230530814,-0.0001020222221931,0.0011099608323249,0.0,0.0030774757322837,0.4301941346551012,0.0,0.0693430656934306,0.237067361369557,0.155869650569297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
CoverType_0_20000_constant_delay_ssl_0.1_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",04-Jul-23 03:01:17,ssl,0.1,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,50,100,3.433068506647503e-05,0.0,-0.0008570940716544,0.000993623951842,-0.0011384478183391,-0.0013024478916738,-0.0007523343142498,-0.0011494221312747,-0.0009582008249405,-0.0006897147270703,-0.0012745254160995,-0.0005496816273527,-0.0005854898832522,0.00132577495196,-0.0001830217826942,-0.0005970251954573,-0.0004100118266882,9.556926629063773e-05,-0.0005623983772242,-0.0002488847782125,-0.0002145660421509,-0.0008968153808461,0.0001075317929762,0.0001223690651004,-0.0010346376254893,0.0011237452619422,-3.235967175913693e-05,-0.0024074033210742,-0.0016996201235938,-0.0039191532409863,-0.0027572139979727,-0.0026010675593624,-6.586764258421992e-05,-0.0018810100246137,0.0006428771458565,-0.0005390303782491,-0.0012385160665201,0.0007033877589476,0.0005887550989038,-0.0003089933921736,0.0003138984574274,-0.0004310461000693,-0.0001106259896787,-0.0003198015414535,-0.0012807933991679,0.001310980489999,-0.0009747092284278,-4.072659248519606e-06,-0.0003708703783904,0.0009713418309224,0.0,0.0003118743028654,0.2335766423357664,0.1508289526890416,0.0552995391705067,-0.0524372230428361,0.0438695163104611,0.2085661080074481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, , , , , , , , , , , , , , , , , , , 
CoverType_0_20000_constant_delay_ssl_0.2_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",04-Jul-23 04:24:16,ssl,0.2,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,50,100,0.0009703467272639,0.0,-0.0041306814144329,-0.0108203469194978,-0.0041657311959977,-0.0056928746101207,-0.0123880258710704,-0.0051344328445904,-0.006683780515903,-0.0053594182234047,-0.0061044993959903,-0.002319372990549,-0.0019929030175646,-0.0016743405276354,-0.0018879311617534,-0.002565318365179,-0.0018160946419735,-0.0018295696153842,-4.376457245653808e-05,-0.0006956536460412,-0.002344607007388,-0.0001669985227053,-0.0013284618211282,-0.0007968203628529,-0.0008683612324009,-0.000334587294449,-0.0020553195521741,-0.0021498579726827,-0.0031873604758661,-0.0012423869629281,-0.0022812891988236,-0.0018665202213254,-0.0018804017328545,-0.0013170983221283,-0.0014197594268934,2.6339779856814515e-05,-0.0011765844225622,-0.0015857053197295,0.001161597110779,-0.0011311004342651,-0.0004240882103478,-0.0015494753221148,-0.0009084541171807,-0.0016543872408344,0.0003188013782578,-0.0011642639627314,7.609080559666873e-05,-0.0008016928770519,-0.0005266320325039,-1.6975271783655944e-05,0.0,0.0024933042259989,0.0,0.4614939200926461,-0.0209163346613547,0.1910631741140215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 0.0, 0.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
