stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_30,B_31,B_32,B_33,B_34,B_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96,m_97,m_98,m_99,m_100,m_101,m_102,m_103,m_104,m_105,m_106,m_107,m_108,m_109,m_110,m_111,m_112,m_113,m_114,m_115,m_116,m_117,m_118,m_119,m_120,m_121,m_122,m_123,m_124,m_125,m_126,m_127,m_128,m_129,m_130,m_131,m_132,m_133,m_134,m_135,m_136,m_137,m_138,m_139,m_140,m_141,m_142,m_143,m_144,m_145,m_146,m_147,m_148,m_149,m_150,m_151,m_152,m_153,m_154,m_155,m_156,m_157,m_158,m_159,m_160,m_161,m_162,m_163,m_164,m_165,m_166,m_167,m_168,m_169,m_170,m_171,m_172,m_173,m_174,m_175,m_176,m_177,m_178,m_179,m_180,m_181,m_182,m_183,m_184,m_185,m_186,m_187,m_188,m_189,m_190,m_191,m_192,m_193,m_194,m_195,m_196,m_197,m_198,m_199
AGRAWAL_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",07-Jul-23 22:43:39,init,,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6117364550502776,0.651685393258427,0.68,0.64,0.68,0.69,0.67,0.64,0.68,0.66,0.7,0.72,0.65,0.7,0.65,0.75,0.61,0.74,0.72,0.66,0.69,0.64,0.65,0.68,0.63,0.63,0.67,0.7,0.68,0.65,0.67,0.65,0.68,0.62,0.6,0.6,0.69,0.65,0.73,0.64,0.66,0.69,0.61,0.55,0.62,0.66,0.71,0.67,0.67,0.72,0.7,0.62,0.58,0.66,0.64,0.68,0.64,0.71,0.64,0.66,0.73,0.63,0.69,0.62,0.61,0.61,0.71,0.65,0.76,0.7,0.67,0.64,0.54,0.61,0.6,0.68,0.53,0.66,0.56,0.64,0.57,0.59,0.57,0.68,0.56,0.67,0.6,0.6,0.65,0.64,0.61,0.59,0.58,0.62,0.65,0.63,0.69,0.65,0.63,0.6,0.56,0.67,0.52,0.65,0.52,0.62,0.56,0.61,0.74,0.57,0.59,0.61,0.61,0.66,0.58,0.61,0.57,0.52,0.66,0.63,0.59,0.62,0.52,0.63,0.68,0.64,0.57,0.55,0.62,0.57,0.56,0.59,0.59,0.63,0.66,0.55,0.56,0.53,0.53,0.51,0.54,0.56,0.64,0.62,0.6,0.59,0.56,0.57,0.61,0.49,0.58,0.55,0.55,0.54,0.55,0.53,0.6,0.53,0.61,0.52, 0.59, 0.57, 0.59, 0.45, 0.59, 0.61, 0.59, 0.56, 0.52, 0.62, 0.6, 0.58, 0.49, 0.61, 0.65, 0.56, 0.58, 0.6, 0.55, 0.49, 0.54, 0.45, 0.55, 0.59, 0.64, 0.57, 0.53, 0.56, 0.52, 0.53, 0.57, 0.56, 0.48, 0.59, 0.51, 0.58, 0.53, 0.51, 0.56, 0.58, 0.55
AGRAWAL_0_20000_constant_delay,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",07-Jul-23 22:46:54,delay,,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,50,100,0.570313672519886,0.5671396852978087,0.5667035614297806,0.5666600699254568,0.5667035614297806,0.5671315637251751,0.5674844575172138,0.5679134507553268,0.5672895370792369,0.5663962002770632,0.5677950368215855,0.5671704157671147,0.5680057295396835,0.5698265057061811,0.5676150791067127,0.5685455363455235,0.5680192526238385,0.5674516788706379,0.568656813594635,0.5709479517118543,0.5701466674918002,0.5713489797339648,0.5696334396770623,0.5718055280691339,0.5687219220001302,0.5727547126829546,0.5708773825140829,0.5688369945247048,0.5712611498144411,0.5705521472392638,0.5721269880561916,0.573786475381294,0.57301907676281,0.5722013325417243,0.5711960414089459,0.5714377530689633,0.5722307640885086,0.5708819842997559,0.5740608112507325,0.5721353651296259,0.572498298162015,0.5759454000974998,0.5720424506803828,0.5730589088990039,0.5736050524122664,0.5731730831030272,0.5741025469616953,0.5741803549046771,0.572563317924344,0.5751698660861534,0.573973816320504,0.5729151033068187,0.651685393258427,0.68,0.64,0.68,0.69,0.67,0.64,0.68,0.66,0.7,0.64,0.58,0.63,0.61,0.7,0.59,0.71,0.67,0.6,0.64,0.62,0.63,0.64,0.65,0.63,0.64,0.7,0.67,0.58,0.62,0.66,0.61,0.65,0.56,0.51,0.61,0.61,0.63,0.56,0.65,0.63,0.59,0.48,0.62,0.66,0.66,0.66,0.62,0.65,0.67,0.6,0.56,0.59,0.61,0.65,0.64,0.61,0.61,0.64,0.65,0.58,0.56,0.63,0.59,0.58,0.62,0.55,0.67,0.61,0.63,0.63,0.54,0.56,0.58,0.66,0.62,0.6,0.5,0.48,0.63,0.6,0.59,0.56,0.51,0.64,0.55,0.5,0.65,0.59,0.58,0.54,0.57,0.59,0.54,0.5,0.52,0.55,0.55,0.62,0.54,0.61,0.56,0.52,0.51,0.54,0.51,0.63,0.67,0.56,0.59,0.57,0.51,0.61,0.55,0.62,0.57,0.51,0.6,0.49,0.5,0.54,0.52,0.46,0.58,0.53,0.54,0.53,0.63,0.53,0.52,0.6,0.6,0.53,0.6,0.57,0.54,0.54,0.53,0.53,0.54,0.46,0.56,0.6,0.56,0.52,0.5,0.5,0.48,0.43,0.48,0.52,0.51,0.57,0.5,0.51,0.55,0.51,0.51,0.48, 0.49, 0.52, 0.45, 0.49, 0.54, 0.57, 0.58, 0.58, 0.53, 0.55, 0.56, 0.58, 0.53, 0.49, 0.54, 0.49, 0.52, 0.54, 0.48, 0.43, 0.53, 0.56, 0.51, 0.58, 0.56, 0.52, 0.56, 0.53, 0.52, 0.56, 0.51, 0.5, 0.54, 0.52, 0.51, 0.55, 0.52, 0.52, 0.51, 0.57, 0.51
AGRAWAL_0_20000_constant_delay_ssl_0.1_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",07-Jul-23 22:55:14,ssl,0.1,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,50,100,0.5488366927647288,0.5508085928071446,0.5458784596871239,0.5482785003825554,0.5470835207677313,0.5484922575387123,0.5460275464944362,0.550030599755202,0.5474939975990396,0.5474497208839948,0.5487917227694706,0.5488003917088298,0.5482828586458255,0.550057099352874,0.547683923705722,0.550738552437223,0.5495257347224382,0.5500914913083257,0.550079012717285,0.5510282088525342,0.5501562944018187,0.5529890199267995,0.5529898458066942,0.5495874083129584,0.5508927898741807,0.5515819318255042,0.5520337119824111,0.5524239871333384,0.5511124473842454,0.554858934169279,0.5532955350815025,0.5533806377946334,0.5536587200120328,0.5528952803488105,0.5518301830183018,0.5546636937941286,0.5545686259365104,0.5521698984302862,0.5538910943000525,0.5542739286532733,0.5541260928282038,0.5565224463240078,0.5527721357105243,0.5543014032946919,0.5547110174593618,0.5533323415650104,0.555874147551147,0.5547934766041762,0.5544934517537258,0.5549694189602447,0.5566551212271152,0.5536676106391248,0.6629213483146067,0.63,0.69,0.67,0.66,0.66,0.65,0.68,0.65,0.68,0.56,0.6,0.59,0.67,0.63,0.72,0.58,0.65,0.63,0.63,0.63,0.67,0.57,0.66,0.68,0.59,0.58,0.61,0.56,0.62,0.56,0.53,0.59,0.62,0.51,0.62,0.59,0.59,0.48,0.6,0.58,0.68,0.55,0.61,0.63,0.59,0.58,0.58,0.58,0.65,0.61,0.53,0.56,0.63,0.54,0.59,0.61,0.58,0.59,0.52,0.62,0.61,0.57,0.54,0.47,0.52,0.53,0.67,0.52,0.48,0.56,0.54,0.58,0.62,0.5,0.46,0.62,0.53,0.58,0.52,0.54,0.53,0.59,0.53,0.49,0.52,0.51,0.55,0.61,0.53,0.51,0.54,0.48,0.54,0.49,0.51,0.56,0.61,0.55,0.48,0.53,0.56,0.61,0.52,0.57,0.57,0.49,0.48,0.54,0.5,0.52,0.56,0.5,0.51,0.55,0.53,0.57,0.53,0.54,0.56,0.54,0.49,0.49,0.51,0.57,0.45,0.5,0.54,0.56,0.54,0.48,0.52,0.53,0.43,0.52,0.52,0.54,0.49,0.47,0.49,0.47,0.53,0.53,0.49,0.55,0.5,0.49,0.5,0.49,0.56,0.52,0.55,0.54,0.49,0.51,0.51,0.52,0.46,0.49, 0.5, 0.52, 0.5, 0.54, 0.49, 0.54, 0.55, 0.48, 0.49, 0.52, 0.53, 0.51, 0.51, 0.53, 0.5, 0.51, 0.51, 0.51, 0.53, 0.51, 0.51, , , , , , , , , , , , , , , , , , , , 
AGRAWAL_0_20000_constant_delay_ssl_0.2_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",07-Jul-23 22:57:59,ssl,0.2,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,50,100,0.5290613831588188,0.525040128410915,0.5269104172226671,0.5266551630187993,0.5284725918041512,0.526306543697848,0.5271503641559878,0.529,0.5284588828892627,0.5249384517187927,0.5252650762094102,0.5239874164372788,0.5276769108139225,0.5250341997264022,0.5286936374977722,0.5267943002010665,0.5287103283801138,0.5257497037644699,0.5249243368346093,0.5290966863368134,0.524867374005305,0.5279117849758787,0.5311085470844058,0.5277904120804148,0.5286171347316033,0.5292891700781541,0.5270835689245731,0.5301368621408502,0.5273813770959686,0.5319514844315714,0.5268799335272123,0.5280777537796977,0.5306213281110913,0.5277349069450749,0.5269883824843611,0.5314673157162726,0.5303128172003322,0.5331273289102972,0.5273605150214592,0.5320628612716763,0.5263070539419087,0.5294290759270159,0.5268192383336313,0.5313233435638202,0.5299937605847224,0.5293912132063936,0.5284243716961885,0.5316146540027137,0.529652715939448,0.5296679368535656,0.5243216412971542,0.5306915794093674,0.6179775280898876,0.62,0.68,0.58,0.79,0.65,0.59,0.59,0.67,0.5,0.55,0.58,0.6,0.63,0.6,0.6,0.55,0.6,0.58,0.55,0.58,0.61,0.58,0.59,0.51,0.53,0.55,0.59,0.57,0.55,0.6,0.46,0.58,0.58,0.45,0.51,0.56,0.54,0.55,0.51,0.48,0.52,0.48,0.53,0.55,0.53,0.46,0.57,0.51,0.47,0.52,0.63,0.56,0.59,0.5,0.55,0.6,0.49,0.53,0.49,0.41,0.54,0.57,0.49,0.58,0.52,0.53,0.56,0.55,0.56,0.46,0.46,0.56,0.58,0.49,0.52,0.53,0.51,0.46,0.45,0.54,0.52,0.57,0.48,0.58,0.5,0.48,0.57,0.52,0.52,0.48,0.43,0.57,0.43,0.46,0.54,0.49,0.49,0.54,0.54,0.56,0.63,0.48,0.52,0.45,0.51,0.45,0.45,0.6,0.51,0.51,0.47,0.49,0.65,0.56,0.43,0.49,0.45,0.5,0.55,0.47,0.53,0.52,0.57,0.46,0.61,0.53,0.47,0.54,0.51,0.59,0.44,0.5,0.52,0.51,0.42,0.53,0.55,0.58,0.49,0.42,0.51,0.51,0.53,0.48,0.5,0.44,0.59,0.53,0.5,0.41,0.51,0.48,0.5,0.59,0.45,0.52,0.54,0.54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AGRAWAL_0_20000_constant_delay_ssl_0.9_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",15-Jul-23 13:46:02,ssl,0.9,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,50,100,0.5161953727506426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.5416666666666666,0.5191256830601093,0.0,0.0,0.5272727272727272,0.0,0.4444444444444444,0.0,0.5154826958105647,0.0,0.0,0.5273224043715847,0.0,0.4444444444444444,0.0,0.0,0.5181623931623932,0.0,0.0,0.0,0.4444444444444444,0.5218579234972678,0.0,0.0,0.0,0.5136612021857924,0.0,0.4444444444444444,0.0,0.5272727272727272,0.0,0.5218579234972678,0.0,0.5347222222222222,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5141388174807198,0.5194805194805194,0.49,0.47,0.56,0.54,0.48,0.5,0.5,0.51,0.49,0.6,0.5,0.54,0.55,0.58,0.5,0.44,0.52,0.48, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AGRAWAL_0_20000_constant_delay_ssl_0.4_0_20000,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",15-Jul-23 15:19:08,ssl,0.4,<class 'river.naive_bayes.gaussian.GaussianNB'>,0.7,50,100,0.5183033120278907,0.0,0.5017341040462427,0.5080996884735203,0.5126491646778043,0.5011789363374378,0.5217270965956269,0.5010388839418225,0.5082370297516597,0.5115722266560255,0.5019003800760152,0.5090609555189456,0.5190054984460913,0.5156090071647902,0.5019324916258696,0.5087387812942844,0.5106712032168265,0.5176933158584535,0.5034602076124568,0.5110304384250209,0.5047890768290197,0.520618556701031,0.5054251829422155,0.5215100965759438,0.5016319357268391,0.5226396229110127,0.5027739251040222,0.5064715813168261,0.515340613624545,0.509054895302773,0.5065268987341772,0.5188936501753019,0.5057356608478804,0.5116814741691346,0.5144797283802677,0.510411376333164,0.512609804477189,0.5066628041714948,0.5139497348397509,0.526638252530634,0.5002097315436241,0.5152312899586311,0.5093123209169055,0.5148433205057724,0.4978936282253818,0.5210745715609079,0.5009640102827764,0.5190109013560223,0.5048090134652377,0.5120036934441367,0.0,0.5161450983647381,0.5068493150684932,0.55,0.58,0.66,0.64,0.6,0.54,0.61,0.56,0.59,0.52,0.45,0.47,0.56,0.58,0.49,0.5,0.53,0.51, 0.54, 0.58, 0.57, 0.51, 0.51, 0.55, 0.45, 0.51, 0.55, 0.42, 0.46, 0.56, 0.52, 0.58, 0.47, 0.49, 0.49, 0.47, 0.58, 0.46, 0.43, 0.56, 0.57, 0.55, 0.46, 0.51, 0.5, 0.45, 0.43, 0.53, 0.59, 0.57, 0.5, 0.49, 0.5, 0.55, 0.49, 0.53, 0.55, 0.49, 0.53, 0.47, 0.52, 0.57, 0.53, 0.52, 0.58, 0.53, 0.53, 0.5, 0.45, 0.4, 0.58, 0.51, 0.58, 0.51, 0.48, 0.52, 0.49, 0.54, 0.47, 0.53, 0.48, 0.46, 0.58, 0.49, 0.49, 0.5, 0.48, 0.5, 0.46, 0.49, 0.53, 0.47, 0.58, 0.51, 0.52, 0.47, 0.51, 0.45, 0.49, 0.57, 0.44, 0.49, 0.49, 0.51, 0.55, 0.53, 0.39, 0.59, 0.55, 0.51, 0.44, 0.56, 0.52, 0.44, 0.5, 0.48, 0.56, 0.52, 0.52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
