stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_30,B_31,B_32,B_33,B_34,B_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50,B_51,B_52
HyperPlane_0_10000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",26-Jun-23 20:08:30,init,,CluStream,,50,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6060272326792151
HyperPlane_0_10000_constant_delay,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",26-Jun-23 20:35:40,delay,,CluStream,,50,100,0.5323323323323323,0.5228239845261122,0.5242503259452412,0.5317040951122853,0.5333767926988267,0.5377091377091378,0.5421686746987951,0.542668428005284,0.5516297262059974,0.5535006605019815,0.5586121437422553,0.5605299860529986,0.5649282920469361,0.5626155878467636,0.5726205997392438,0.572972972972973,0.5807228915662651,0.5779392338177014,0.583702737940026,0.5815059445178336,0.585006195786865,0.5814504881450488,0.579400260756193,0.5896961690885073,0.5872229465449804,0.5880273660205245,0.594435857805255,0.5926023778071334,0.5928292046936114,0.5926023778071334,0.5944237918215614,0.595536959553696,0.5941329856584094,0.6040951122853369,0.5923076923076923,0.5958815958815958,0.5925033467202142,0.5948480845442536,0.5891786179921773,0.5993394980184941,0.5960346964064436,0.5993026499302649,0.5980443285528031,0.5986789960369882,0.5962190352020861,0.596010296010296,0.5981258366800536,0.5953764861294584,0.5933507170795307,0.5976221928665786,0.5923076923076923,0.5865865865865866
HyperPlane_0_10000_constant_delay_ssl_0.1_0_10000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",26-Jun-23 21:22:31,ssl,0.1,CluStream,,50,100,0.5292153589315526,0.5196411251212415,0.5210693248753965,0.5252107279693486,0.5288969367738041,0.533034379671151,0.5395515415758331,0.5426332770010754,0.5439469320066335,0.5468439553721535,0.5487421383647799,0.5518198139383058,0.5554715840386941,0.5520577395577395,0.5637735849056604,0.5637853949329359,0.5702260327357755,0.5716249236408063,0.5771975102474571,0.5737956428352256,0.5783783783783784,0.5735966057441253,0.5782950423216445,0.5845395749923006,0.5823662396382818,0.5750744915144449,0.5765965300849022,0.5821100917431192,0.5794505994839885,0.5756785769053826,0.5769888793840889,0.5830078125,0.5776500831695146,0.5774799753542822,0.573987656179437,0.5804341361879275,0.5755586810439131,0.5860643185298622,0.5765097623732405,0.5879466339518479,0.5842007699985741,0.5844517184942717,0.5839108165109973,0.5884062404405017,0.5876741368867353,0.5890390613396703,0.5862987929142499,0.5904776484996939,0.5867069486404833,0.5959239963224027,0.5888527868032992,0.5821925431274346
HyperPlane_0_10000_constant_delay_ssl_0.2_0_10000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",26-Jun-23 22:25:01,ssl,0.2,CluStream,,50,100,0.5295887662988967,0.5159112825458052,0.5217623974313236,0.5240680419833514,0.5222736992159658,0.5278901988386415,0.5363283416528009,0.5302182933429551,0.5331432644333571,0.5394115510352343,0.540268456375839,0.5501844302077267,0.5545633148776568,0.5519913497927554,0.5590382902938558,0.5630252100840336,0.562407132243685,0.5652411282984532,0.5696495285536382,0.571712069276565,0.5740090316106372,0.5740452065471551,0.5740110971899052,0.5738626064890339,0.5804382683057189,0.5692537313432836,0.5724604966139955,0.5806451612903226,0.5730577334283677,0.5721048798252003,0.5776666666666667,0.5742516141655254,0.5768002837885775,0.5803474484256244,0.581216457960644,0.5818085855031668,0.5807464892830746,0.5844202898550724,0.5760099220411056,0.5817587209302325,0.5804950988536302,0.5773762765121759,0.576504195679343,0.5707812216784485,0.5723660872649876,0.5771588719565598,0.5738435816459223,0.5680623527279318,0.5762319871908913,0.5759390310288514,0.5705745599468615,0.5708375125376128
