stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49
Electricity_0_10000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",12-Jul-23 22:01:47,init,,CluStream,,20,100,0.3922240128928284,0.393502538071066,0.3935288169868554,0.3926765122395306,0.3927632908833636,0.3929221435793731,0.3932402347702894,0.3926765122395306,0.392156862745098,0.3924306820481684,0.3924894003634161,0.3916919959473151,0.3915504346068324,0.3922282938676381,0.3927199191102123,0.3925611481706084,0.3926765122395306,0.3926330702286986,0.3927199191102123,0.3932834311147076,0.3930530164533821,0.3960515713134568,0.5340909090909091,0.66,0.25,0.64,0.48,0.38,0.63,0.57,0.55,0.54,0.12,0.26,0.33,0.21,0.16,0.32,0.5,0.48,0.32,0.34,0.33,0.3,0.67,0.52,0.37,0.44,0.49,0.5,0.4,0.08,0.55,0.28,0.56,0.63,0.56,0.09,0.19,0.2,0.45, 0.4, 0.39, 0.24, 0.2, 0.39, 0.54, 0.47, 0.28, 0.5, 0.18, 
Electricity_0_10000_ssl_0.1_0_10000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",12-Jul-23 22:14:50,ssl,0.1,CluStream,,20,100,0.4003139717425432,0.4006944444444444,0.3975225225225225,0.3970256872465074,0.3973435389464205,0.3977016674177557,0.3975659229208925,0.3972510139702568,0.3971184151283206,0.3965284039675383,0.3971216550483472,0.3969188944268237,0.3962179198559207,0.3965284039675383,0.397072072072072,0.3973435389464205,0.3968897903989182,0.3974301172227232,0.397072072072072,0.3974763406940063,0.4012391573729864,0.4003139717425432,0.5113636363636364,0.58,0.44,0.54,0.46,0.5,0.71,0.44,0.54,0.21,0.29,0.31,0.14,0.22,0.53,0.49,0.29,0.44,0.25,0.45,0.48,0.49,0.44,0.5,0.48,0.36,0.17,0.48,0.34,0.52,0.61,0.31,0.14,0.22,0.45,0.37,0.38,0.27,0.2, 0.49, 0.68, 0.35, 0.4, 0.2, , , , , , 
Electricity_0_10000_ssl_0.2_0_10000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",12-Jul-23 22:19:15,ssl,0.2,CluStream,,20,100,0.3995983935742971,0.3894230769230769,0.3969735182849937,0.3980312973245835,0.3986895161290322,0.3966127401415571,0.3969797798822626,0.3953054147772739,0.3974294354838709,0.3962550607287449,0.3967774420946626,0.3986965145933692,0.397277539702546,0.396407791550721,0.3958944281524926,0.3972257250945775,0.3973408335464076,0.396407791550721,0.3975782038345106,0.39666919000757,0.3966555183946488,0.4018574297188755,0.7840909090909091,0.52,0.54,0.49,0.43,0.68,0.51,0.51,0.27,0.26,0.26,0.12,0.31,0.52,0.37,0.33,0.31,0.45,0.48,0.47,0.44,0.41,0.56,0.17,0.55,0.25,0.52,0.63,0.3,0.17,0.3,0.46,0.31,0.25,0.22,0.48,0.49,0.38,0.32, , , , , , , , , , , 
Electricity_0_10000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",17-Jul-23 22:40:40,init,,CluStream,,20,100,0.3958501208702659,0.393502538071066,0.3935288169868554,0.3926765122395306,0.3925611481706084,0.3929221435793731,0.3932402347702894,0.3926765122395306,0.392156862745098,0.3924306820481684,0.3924894003634161,0.3916919959473151,0.3915504346068324,0.3922282938676381,0.3927199191102123,0.3925611481706084,0.3926765122395306,0.3926330702286986,0.3927199191102123,0.3932834311147076,0.3928498882795043,0.3960515713134568,0.5238095238095238,0.69,0.25,0.61, 0.47, 0.38, 0.63, 0.61, 0.51, 0.54, 0.16, 0.26, 0.33, 0.19, 0.14, 0.34, 0.5, 0.5, 0.32, 0.31, 0.36, 0.28, 0.68, 0.49, 0.37, 0.48, 0.49, 0.47, 0.43, 0.06, 0.56, 0.29, 0.52, 0.63, 0.57, 0.12, 0.18, 0.21, 0.45, 0.4, 0.39, 0.24, 0.2, 0.39, 0.5, 0.47, 0.32, 0.48, 0.16, 
Electricity_0_10000_ssl_0.9_0_10000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",17-Jul-23 23:05:41,ssl,0.9,CluStream,,20,100,0.4,0.0,0.0,0.0,0.4042553191489361,0.3943661971830985,0.0,0.44,0.4047619047619047,0.0,0.3666666666666666,0.0,0.4047619047619047,0.0,0.44,0.3943661971830985,0.4047619047619047,0.4,0.0,0.0,0.0,0.3978723404255319,0.4666666666666667,0.39,0.35,0.43, 0.37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electricity_0_10000_ssl_0.4_0_10000,"{'train_period': '0', 'max_micro_clusters': '100', 'time_window': '1000', 'seed': '123'}",17-Jul-23 23:44:38,ssl,0.4,CluStream,,20,100,0.3975903614457831,0.6666666666666666,0.3972371967654987,0.4146919431279621,0.3746813933729822,0.3930688554491564,0.4262788365095286,0.3583669354838709,0.3987560469937802,0.415277030661646,0.3937457969065232,0.387328543435663,0.4098548510313216,0.3995316159250585,0.3582914572864321,0.4107820804859529,0.4045967042497831,0.3648902821316614,0.4152876280535855,0.3953409858203916,0.0,0.3992637215528782,0.6931818181818182,0.28,0.57,0.46, 0.53, 0.62, 0.2, 0.27, 0.17, 0.44, 0.35, 0.37, 0.28, 0.54, 0.55, 0.42, 0.43, 0.26, 0.36, 0.52, 0.6, 0.1, 0.28, 0.4, 0.41, 0.21, 0.55, 0.44, 0.41, 0.3, , , , , , , , , , , , , , , , , , , , 
