stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96,m_97,m_98,m_99,m_100,m_101,m_102,m_103,m_104,m_105,m_106,m_107,m_108,m_109,m_110,m_111,m_112,m_113,m_114,m_115,m_116,m_117,m_118,m_119,m_120,m_121,m_122,m_123,m_124,m_125,m_126,m_127,m_128,m_129,m_130,m_131,m_132,m_133,m_134,m_135,m_136,m_137,m_138,m_139,m_140,m_141,m_142,m_143,m_144,m_145,m_146,m_147,m_148,m_149,m_150,m_151,m_152,m_153,m_154,m_155,m_156,m_157,m_158,m_159,m_160,m_161,m_162,m_163,m_164,m_165,m_166,m_167,m_168,m_169,m_170,m_171,m_172,m_173,m_174,m_175,m_176,m_177,m_178,m_179,m_180,m_181,m_182,m_183,m_184,m_185,m_186,m_187,m_188,m_189,m_190,m_191,m_192,m_193,m_194,m_195,m_196,m_197,m_198,m_199
Electricity_0_20000,"{'classifier_grace_period': '200', 'classifier_max_depth': 'inf', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '1e-07', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'GaussianSplitter', 'classifier_bootstrap_sampling': 'True', 'classifier_drift_window_threshold': '300', 'classifier_drift_detector': 'ADWIN', 'classifier_switch_significance': '0.05', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '1000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.tree.hoeffding_adaptive_tree_classifier.HoeffdingAdaptiveTreeClassifier'>"", 'nu': '100'}",08-Jul-23 21:01:34,init,,ICLC_HT,,20,100,0.5447523088950408,0.0,0.0,0.0,0.5085354487204272,0.6153846153846153,0.0,0.0909090909090909,0.5178580676685758,0.0,0.5833333333333333,0.0,0.5116595478781351,0.0,1.0,0.6153846153846153,0.5182396745538345,0.0,0.0,0.0,0.0,0.552972084153724,0.8090128755364807,0.1232876712328771,0.0,-0.0141987829614605,0.0,-0.0748959778085991,-0.0198878123406426,0.0,0.0,0.0,-0.047646383467279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4122257053291535,0.1441908713692948,0.0,0.4959677419354839,0.4199999999999999,0.4609665427509293,0.9279538904899134,0.6887966804979253,0.5686113393590798,0.8204309656823624,0.9122422114962702,0.7058823529411764,0.7286295793758477,0.3665158371040726,0.6762589928057554,0.8200000000000001,0.8971193415637859,0.8535564853556487,0.8108108108108109,0.1509433962264147,0.5394736842105263,0.9393203883495144,0.4563106796116504,0.7121346324180691,0.96,0.4858611825192801,0.3548387096774192,0.5192307692307693,0.7619992066640222,0.3966421825813221,0.1275167785234898,0.2996108949416344,0.7803514376996805,0.5047543581616482,0.512743628185907,0.9152542372881356,0.8026315789473685,0.8728813559322033,0.6874999999999999,0.5251857968620974,0.5228628230616302,0.7979797979797978,0.4642857142857142,0.5788667687595713,0.9397590361445782,0.8031496062992127,0.6274509803921569,0.5742092457420925,0.3720930232558138,0.606144151240646,0.8066298342541438,0.4969040247678019,0.7607655502392344,0.9560632688927944,0.6106557377049181,0.8582995951417005, 0.76, 0.8577524893314366, 0.8014121800529568, 0.9180327868852458, 0.5840266222961732, 0.47058823529411764, 0.9399038461538461, 0.9372909698996655, 0.8595505617977529, 0.5954692556634305, 0.5969367190648932, 0.7004608294930876, 0.5708154506437766, 0.09717662508207482, 0.3791574279379158, 0.3636363636363636, 0.9466950959488273, 0.3001555209953344, 0.8592115848753018, 0.7762408462164362, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electricity_0_20000_constant_delay_ssl_0.1_0_20000,"{'classifier_grace_period': '200', 'classifier_max_depth': 'inf', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '1e-07', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'GaussianSplitter', 'classifier_bootstrap_sampling': 'True', 'classifier_drift_window_threshold': '300', 'classifier_drift_detector': 'ADWIN', 'classifier_switch_significance': '0.05', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '1000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.tree.hoeffding_adaptive_tree_classifier.HoeffdingAdaptiveTreeClassifier'>"", 'nu': '100'}",08-Jul-23 21:25:50,ssl,0.1,ICLC_HT,,20,100,0.3289048309630706,0.3368018366245964,0.3303963295361652,0.3356495125968171,0.3585077622167739,0.3843134661096774,0.3884270971855693,0.3878183964937727,0.3674485228078189,0.3736327414954399,0.3863235565136345,0.4072317658968322,0.4067560760495798,0.4472950380960913,0.4573068908711194,0.4781929434689573,0.4632385568530509,0.459300437104303,0.4686953611615193,0.4904506628328426,0.498471918259021,0.5166503834946681,0.7214793741109531,-0.2895174708818635,-0.0922787193973636,0.0,0.0,0.1252485089463221,0.0,0.0,0.0932642487046632,-0.0521636040308239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3221035332785539,0.7791164658634538,0.855132450331126,0.4923857868020313,0.8198558847077663,0.4393687707641196,0.5610687022900764,0.6624305003971405,0.8997594226142742,0.0,0.3190661478599225,0.4642857142857142,0.4456289978678038,0.2475728155339803,0.477655252466628,0.5409015025041736,0.4753649635036497,0.5192307692307692,0.4318181818181817,0.7136563876651982,0.680746561886051,0.0,0.5626242544731611,0.6649916247906197,0.4749403341288782,0.0184530820573223,0.8318924111431317,0.8784440842787682,0.92,0.81651376146789,0.4741873804971321,0.5151515151515151,0.6418623159570234,0.4318181818181817,0.8796147672552166,0.7407647440051849,0.6772591857000992,0.7305792546026044,0.8703823720025923,0.6612466124661246,0.8788368336025847,0.5679012345679013,0.6715927750410509,0.5762711864406778,0.3569131832797427,0.78531558608845,0.8936170212765956,0.5521172638436482,0.9598715890850722,0.782608695652174,0.7899159663865547,0.836867862969005,0.6271585557299844,0.7440944881889764,0.6000000000000001,0.8350612629594724, 0.6096959737058342, 0.7805267358339985, 0.33444259567387696, 0.6000000000000001, 0.7076023391812866, 0.7634069400630916, 0.6200000000000001, 0.24067348960052828, 0.5100440960313573, 0.5090337784760408, 0.2006731173748421, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electricity_0_20000_constant_delay_ssl_0.2_0_20000,"{'classifier_grace_period': '200', 'classifier_max_depth': 'inf', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '1e-07', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'GaussianSplitter', 'classifier_bootstrap_sampling': 'True', 'classifier_drift_window_threshold': '300', 'classifier_drift_detector': 'ADWIN', 'classifier_switch_significance': '0.05', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '1000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.tree.hoeffding_adaptive_tree_classifier.HoeffdingAdaptiveTreeClassifier'>"", 'nu': '100'}",08-Jul-23 21:28:09,ssl,0.2,ICLC_HT,,20,100,0.5141660404141203,0.4861432771943061,0.4928735269922387,0.5087507922606649,0.5034884854026398,0.5119922823094097,0.4957451273936416,0.4852318959976465,0.4863191282991512,0.4865913124319492,0.5086149578954875,0.4997019641693024,0.5080631930244376,0.5018571033111804,0.5041031063321129,0.5134043636005452,0.5065188768083845,0.5118755873145763,0.52463549573101,0.5255953362266736,0.5279478609693656,0.5648799216128539,0.821105527638191,0.2125984251968502,0.2122883024812918,0.0897544453852664,0.0,0.0094618568894145,0.0,0.3340732519422864,0.2019154030327214,0.0,0.0,0.0,0.0,0.04,0.3925233644859812,0.0460526315789474,0.0,0.0,0.1880341880341879,0.4423076923076921,0.8995176848874598,0.7244094488188975,0.2156862745098038,0.8237885462555066,0.3306559571619812,0.5267489711934157,0.9196141479099678,0.6875,0.0,0.4505494505494506,0.7727272727272727,0.8437500000000001,0.829268292682927,0.4186046511627909,0.0,0.7991161108879068,0.5,0.8360655737704918,0.8484848484848484,0.3548387096774192,0.6332046332046333,0.6599999999999999,0.3280815569972195,0.1682509505703424,0.7370550161812297,0.4565217391304348,0.7252747252747251,0.7368421052631581,0.7588424437299036,0.5901639344262296,0.54233409610984,0.7666822211852543,0.3608367228355607,0.6512979465323518,0.8824082784571965,0.6874999999999999,0.6175095622609433,0.3466898954703831,0.6316306483300588,0.4598098530682799,0.6424314660309891,0.222431668237512,0.3668122270742356,0.576271186440678,0.7718978102189782,0.8318621269440942,0.847958297132928,0.5682888540031397,0.7619992066640222,0.8983739837398373,0.8909249563699825,0.4734625105307498,0.6875,0.6991247264770242,0.3475018642803879,0.4736842105263157,0.4409660107334526,0.9799518845228548,0.6938775510204082, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electricity_0_20000_constant_delay,"{'classifier_grace_period': '200', 'classifier_max_depth': 'inf', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '1e-07', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'GaussianSplitter', 'classifier_bootstrap_sampling': 'True', 'classifier_drift_window_threshold': '300', 'classifier_drift_detector': 'ADWIN', 'classifier_switch_significance': '0.05', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '1000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.tree.hoeffding_adaptive_tree_classifier.HoeffdingAdaptiveTreeClassifier'>"", 'nu': '100'}",08-Jul-23 21:29:00,delay,,ICLC_HT,,20,100,0.3857162783145437,0.3519905811756439,0.3590846182487318,0.3941357888418033,0.42913257733487,0.4609829232566331,0.4677194744450614,0.4910220209591181,0.4756484107573944,0.4860811579889753,0.4891809147432907,0.4932249077565104,0.5103861374175744,0.5140421596610913,0.5272191027472959,0.5392932123552998,0.5439474794996693,0.5284250054388313,0.5470233230429654,0.5541447967276599,0.5359932634614661,0.5776555695766966,0.8314849878279686,0.1232876712328771,0.0053557765876052,-0.0141987829614605,0.1211310661062285,0.0123056994818653,0.0,0.0,0.0,0.0,0.0125464684014869,0.8059866962305988,0.5247148288973384,0.1600790513833986,0.787052810902896,0.6065057712486883,0.8200000000000001,0.2048099301784329,0.2338251986379112,0.541284403669725,0.2512783053323593,0.0,0.0,0.0,0.0671641791044778,0.6845425867507886,0.7999199679871949,0.48,0.8,0.7540983606557374,0.5168067226890757,0.5440126883425852,0.8204309656823624,0.9345549738219896,0.7058823529411764,0.7286295793758477,0.3665158371040726,0.0776699029126214,0.9390243902439024,0.8051948051948052,0.8026315789473685,0.6423927178153447,0.0776699029126214,0.3239980685659099,1.0,0.7042586750788643,0.7583243823845329,0.74,0.2329817833173532,0.1853932584269661,0.62890625,0.7794707297514034,0.0506329113924049,0.3948562783661121,0.2996108949416344,0.5047543581616482,0.7604790419161677,0.6679687499999998,0.7775800711743772,0.351585014409222,0.8,0.8019801980198021,0.8355263157894736,0.4714173844949099,0.4519182859990033,0.4642857142857142,0.8452696728558798,0.9397590361445782,0.8031496062992127,0.7205588822355289,0.5948136142625609,0.3119266055045871,0.3447180301826847,0.5755003032140691,0.5696400625978091,0.6860282574568288,0.9360613810741688,0.5469522240527184,0.8173701298701299, 0.43999999999999995, 0.5577523413111343, 0.7901804448174571, 0.8972884141331141, 0.5625000000000001, 0.3750000000000001, 0.8796630565583633, 0.72875226039783, 0.8595505617977529, 0.5954692556634305, 0.6200000000000001, 0.7393364928909952, 0.9132321041214749, 0.22839506172839516, 0.5698924731182796, 0.37956204379562053, 0.9466950959488273, 0.2587601078167117, 0.8792270531400965, 0.797077922077922, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
