stream,hyperparameters,date,type,probability,classifier,threshold,B,frequency,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49
Electricity_0_10000,"{'classifier_n_models': '10', 'classifier_max_features': '3', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",12-Jul-23 21:48:20,init,,ICLC,,20,100,0.8692849949647533,0.8122208688591149,0.8178325919935301,0.8187702265372169,0.8197251414713015,0.8224828143954711,0.8243626062322946,0.8248381877022654,0.8259902991107518,0.8276001618777823,0.8266047638272104,0.8253646677471637,0.8267987065481003,0.8273978146499393,0.829154872624343,0.8340743734842361,0.8347491909385113,0.8375151760420882,0.8443186413263243,0.8505258899676376,0.8547928513403736,0.8916414904330312,0.9325842696629212,0.78,0.85,0.89,0.91,0.89,0.91,0.93,0.89,0.97,0.85,0.94,0.97,0.96,0.99,0.97,0.94,0.71,0.72,0.86,0.84,0.73,0.77,0.95,0.87,0.97,0.97,0.88,0.95,0.97,0.86,0.82,0.9,0.94,0.89,0.96,0.87,0.82,0.93, 0.99, 0.93, 0.93, 0.82, 0.76, 0.98, 0.9, 0.87, 0.95, 0.9, 
Electricity_0_10000_ssl_0.1_0_10000,"{'classifier_n_models': '10', 'classifier_max_features': '3', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",12-Jul-23 21:53:12,ssl,0.1,ICLC,,20,100,0.8211182891512586,0.8246167718665465,0.8263982102908277,0.8269919427036705,0.8275553567434578,0.8268456375838926,0.8278101209135692,0.8280340349305867,0.8275939177101967,0.8284818629646216,0.827378293881197,0.8284368692531958,0.8291592128801432,0.8289296909986565,0.8319158460161146,0.8329606440071556,0.8366159355416294,0.8416573348264278,0.847427293064877,0.8538495971351835,0.8628370457209847,0.8826019157941635,0.9550561797752808,0.8,0.81,0.8,0.92,0.8,0.95,0.92,0.88,0.83,0.84,0.96,0.97,1.0,0.95,0.89,0.79,0.89,0.92,0.69,0.63,0.76,0.9,0.93,0.89,0.88,0.96,0.92,0.83,0.91,0.91,0.97,0.92,0.94,0.85,0.99,0.96,0.91,0.84, 0.76, 0.96, 0.8, 0.91, 0.98, 0.85, , , , , 
Electricity_0_10000_ssl_0.2_0_10000,"{'classifier_n_models': '10', 'classifier_max_features': '3', 'classifier_lambda_value': '6', 'classifier_metric': 'Accuracy: 0.00%', 'classifier_disable_weighted_vote': 'False', 'classifier_drift_detector': 'ADWIN', 'classifier_warning_detector': 'ADWIN', 'classifier_grace_period': '50', 'classifier_max_depth': 'None', 'classifier_split_criterion': 'info_gain', 'classifier_delta': '0.01', 'classifier_tau': '0.05', 'classifier_leaf_prediction': 'nba', 'classifier_nb_threshold': '0', 'classifier_nominal_attributes': 'None', 'classifier_splitter': 'None', 'classifier_binary_split': 'False', 'classifier_max_size': '100.0', 'classifier_memory_estimate_period': '2000000', 'classifier_stop_mem_management': 'False', 'classifier_remove_poor_attrs': 'False', 'classifier_merit_preprune': 'True', 'classifier_seed': 'None', 'clustering_n_clusters': '5', 'clustering_halflife': '0.5', 'clustering_mu': '0', 'clustering_sigma': '1', 'clustering_p': '2', 'clustering_seed': 'None', 'clustering': ""<class 'river.cluster.k_means.KMeans'>"", 'classifier': ""<class 'river.forest.adaptive_random_forest.ARFClassifier'>"", 'nu': '100'}",12-Jul-23 21:55:04,ssl,0.2,ICLC,,20,100,0.825183683810489,0.8126400717167189,0.8322301425661914,0.8349044585987261,0.8353270552303385,0.8356687898089172,0.8392533056779881,0.8344155844155844,0.8386357851870705,0.8366046393066531,0.8371029224904701,0.8381177863273158,0.838676844783715,0.8393676695563488,0.8374797187669011,0.8450381679389313,0.8491055224267565,0.8533911269760326,0.8609625668449198,0.8650025471217524,0.8364565587734242,0.8920699265264758,0.9550561797752808,0.74,0.91,0.82,0.86,0.81,0.92,0.89,0.86,0.99,0.99,1.0,0.95,0.9,0.81,0.9,0.91,0.7,0.89,0.82,0.94,0.93,0.88,0.94,0.84,0.92,0.94,0.9,0.91,0.95,0.85,0.98,0.9,0.86,0.87,0.92,0.85,0.96,0.91, , , , , , , , , , , 
