stream,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,hyperparameters,date,threshold
initail_LED_Drift_gradual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6505578067937365,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",01-Apr-23 16:18:53,0.7
LED_Drift_gradual_delay_0_20000,0.4660626029654036,0.4552083333333333,0.4534960422163588,0.453515625,0.4553341902313624,0.4561497326203209,0.4533641160949868,0.4544921875,0.4606860158311345,0.4574257425742574,0.457033426183844,0.4611328125,0.462862796833773,0.4598307291666667,0.4627892030848329,0.4615641711229946,0.4671503957783641,0.4659505208333333,0.4639841688654353,0.4670792079207921,0.4715877437325905,0.4678385416666666,0.4697229551451187,0.4690104166666666,0.4724943052391799,0.4729938271604938,0.471108179419525,0.4729817708333333,0.4716358839050132,0.4746287128712871,0.475,0.47265625,0.4756596306068602,0.4778645833333333,0.4741002570694087,0.4780080213903743,0.4748680738786279,0.4801432291666667,0.4787598944591029,0.4751856435643564,0.4784818941504178,0.4829427083333333,0.4775725593667546,0.4791015625,0.480719794344473,0.4814839572192513,0.4794195250659631,0.4807291666666666,0.4838390501319261,0.4803436078827691,0.4566666666666666,0.480040020010005,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",01-Apr-23 16:18:53,0.7
LED_Drift_gradual_constant_delay_ssl_0.1_0_20000,0.4397798443727462,0.4391323926748724,0.4349382904159683,0.4392186326070623,0.4412418494368701,0.4389698511835916,0.4390206579954093,0.4384765625,0.4395755401175662,0.445292081655718,0.4428466975383865,0.4412712690203133,0.445565749235474,0.4468930365040102,0.4446088951380152,0.44747443445925,0.4489920121719284,0.4492022877784467,0.4516742770167428,0.4497414464829638,0.4522261943451414,0.4523271577044735,0.4566570517686352,0.451775504062594,0.4562669071235347,0.4574175824175824,0.4540668396154433,0.4596556886227544,0.4572257867399938,0.4583984097685645,0.4578977226679633,0.4608284556506078,0.4603114028392612,0.4602055359687945,0.4599645442458265,0.4602188931149577,0.4639300646142151,0.4626111864917835,0.4601292284302546,0.4629090650954781,0.4683738589546813,0.4639066616484757,0.4623647722078318,0.4651478575739288,0.4644459151408192,0.4691434789367324,0.4655592807071015,0.4640174278846153,0.469401735423961,0.4652559497081275,0.4636963696369637,0.4653536754507628,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",01-Apr-23 16:18:53,0.7
LED_Drift_gradual_constant_delay_lfs_0.1_0_20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6507434531735464,"{'threshold': '0.7', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",01-Apr-23 16:18:53,0.7
initail_LED_Drift_gradual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6746142075628319,"{'threshold': '0.9', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",31-Mar-23 19:19:10,0.9
LED_Drift_gradual_constant_delay_lfs_0.1_0_10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6756603521878335,"{'threshold': '0.9', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",31-Mar-23 19:19:47,0.9
LED_Drift_gradual_constant_delay_ssl_0.1_0_10000,0.5145030147999269,0.5137523522770041,0.513277989267532,0.5146451710109989,0.5125658724857122,0.514343785394008,0.5140503950002292,0.5144858757062147,0.5139878313510869,0.513467415251226,0.5152913927808316,0.5150412129234101,0.5132621741719731,0.5152720043376107,0.5158107165645264,0.5161595777708786,0.5149882939817294,0.5163539439207301,0.5163960716631283,0.5165574213362528,0.5169370073610839,0.5180053315661852,0.5151584644315003,0.5183862314253851,0.5169569202566453,0.5178768078702004,0.5187463655005662,0.5161630305494075,0.5190322531312606,0.5180791361795837,0.5186308068459657,0.5187497179645312,0.5187926236276339,0.5183019635618379,0.5190878202940696,0.5201515245606408,0.5191472441426561,0.5180239115722987,0.5195796933227442,0.5202162469768103,0.519210088962753,0.5199783204360001,0.5204460966542751,0.5206543167145716,0.5202129552734607,0.5195694716242661,0.5212049814877145,0.5204842133791048,0.5209196386260452,0.5193695617959845,0.5254521098459477,0.5194045779462608,"{'threshold': '0.9', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",01-Apr-23 06:50:28,0.9
LED_Drift_gradual_constant_delay_lfs_0.1_0_20000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6742276278409091,"{'threshold': '0.8', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",01-Apr-23 06:51:55,0.8
initail_LED_Drift_gradual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6746142075628319,"{'threshold': '0.8', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",01-Apr-23 06:52:24,0.8
LED_Drift_gradual_constant_delay_ssl_0.1_0_20000,0.4848266115551773,0.4840914553539238,0.4837700489874403,0.4847633780394395,0.4834396884855125,0.4849156297937617,0.4845098338161305,0.4842452900998273,0.4848614528725794,0.4847536363250103,0.4847835265841697,0.4855347046794178,0.4844298580369409,0.4864544581783271,0.486078989503647,0.4863196968525249,0.4869069976944101,0.4863162010165108,0.4870317002881844,0.4872139973082099,0.4872015731907493,0.4885789853330127,0.4877520845083304,0.4874226122498046,0.4876585422499774,0.4893769002527565,0.4878677817116347,0.4887951608303438,0.4897136926927538,0.4891094724900737,0.4892525488668095,0.4898878428899599,0.4892336825387129,0.490280095620405,0.489804066543438,0.4904469464346639,0.4908445554810797,0.4895385540357733,0.4904862256429051,0.4906401008970198,0.490603395111818,0.4913091242908095,0.4903879868892446,0.4915328028824501,0.491430518316619,0.4908705146273094,0.4918322834525571,0.4915172735059431,0.4917007383901873,0.4904313470194066,0.5037966325519974,0.4904619755196253,"{'threshold': '0.8', 'train_period': '0', 'classifier': ""<class 'river.naive_bayes.gaussian.GaussianNB'>""}",01-Apr-23 20:44:20,0.8
